id,age,sex,race,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type,real_outcome,alg_outcome,alg_risk_score,alg_risk_score_decile,alg_risk_desc
4054,57,male,Caucasian,0,0,0,M,obstruction of justice,1,0,0.2267499246642176,2.0,low
193,33,female,African-American,5,0,0,F,violent crime,0,1,0.6257742298182702,6.0,medium
2081,21,male,African-American,0,0,0,M,violent crime,0,0,0.49316453002561444,5.0,medium
1601,23,female,African-American,1,0,0,M,violent crime,0,0,0.4724413910203237,5.0,medium
4011,29,male,African-American,0,0,0,M,public order crime,0,0,0.2319026150630247,2.0,low
6013,21,male,African-American,1,0,0,F,drug crime,0,1,0.6572267258271155,7.0,medium
1229,26,male,African-American,15,0,0,F,arrested but not charged,0,1,0.8097455885625887,8.0,high
6444,28,male,Hispanic,16,0,0,F,drug crime,1,1,0.9123785939467296,9.0,high
5859,42,female,African-American,1,0,0,F,drug crime,0,0,0.38056455449930027,4.0,low
2260,33,female,African-American,3,0,0,M,violent crime,0,1,0.5558036773952922,6.0,medium
3556,56,male,African-American,1,0,0,M,public order crime,0,0,0.1880497918742396,2.0,low
2240,42,female,Caucasian,0,0,0,M,violent crime,0,0,0.20354034006800992,2.0,low
5891,34,female,Caucasian,2,0,0,F,drug crime,0,1,0.5329166787008637,5.0,medium
3469,39,male,African-American,2,0,0,M,public order crime,0,0,0.2981919102981183,3.0,low
2241,50,male,African-American,0,0,0,M,violent crime,0,0,0.21076259744558962,2.0,low
5183,40,male,Caucasian,5,0,0,F,violent crime,0,0,0.46238770914523086,5.0,medium
538,39,female,African-American,1,0,0,F,arrested but not charged,0,0,0.20278451438932832,2.0,low
57,27,male,African-American,0,0,0,F,violent crime,0,0,0.297820834290183,3.0,low
1761,32,male,Hispanic,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
91,29,female,Hispanic,0,0,0,F,violent crime,1,0,0.261151093823345,3.0,low
1868,31,male,African-American,5,0,0,M,violent crime,0,1,0.6664471555764598,7.0,medium
3511,25,male,Caucasian,3,0,0,M,public order crime,1,1,0.6286436432815014,6.0,medium
95,38,male,African-American,2,0,0,F,violent crime,1,0,0.3547422962943077,4.0,low
5632,39,male,Caucasian,1,0,0,F,drug crime,0,0,0.38385069579466324,4.0,low
1048,29,male,African-American,6,0,0,F,arrested but not charged,1,1,0.6594957534006816,7.0,medium
5739,29,male,African-American,3,0,0,M,drug crime,0,1,0.6692142849562166,7.0,medium
3239,22,male,African-American,0,0,0,F,property crime,1,0,0.4759564923717426,5.0,medium
6295,51,male,African-American,19,1,0,F,drug crime,1,1,0.6029003514413431,6.0,medium
998,27,male,African-American,2,0,0,F,arrested but not charged,0,1,0.5626876844380208,6.0,medium
4775,26,male,African-American,0,0,0,F,property crime,0,0,0.31555058526191,3.0,low
1895,42,male,Caucasian,1,0,0,M,violent crime,0,0,0.2739562144704394,3.0,low
1798,44,male,Caucasian,0,0,0,M,violent crime,0,0,0.20541883401419378,2.0,low
1976,27,male,Caucasian,7,0,1,M,violent crime,1,1,0.7140356645813019,7.0,medium
4230,45,male,Caucasian,1,0,0,F,violent crime,1,0,0.279725174414664,3.0,low
3328,26,male,Caucasian,4,0,0,F,drug crime,1,1,0.7456469271982623,7.0,medium
5494,38,male,African-American,16,0,1,F,drug crime,1,1,0.7924503249868915,8.0,high
3301,22,male,African-American,0,0,0,F,property crime,1,0,0.4759564923717426,5.0,medium
4056,42,female,Caucasian,1,0,0,F,property crime,1,0,0.32115786414112535,3.0,low
3317,25,male,Caucasian,0,0,0,F,drug crime,0,0,0.3112206432337261,3.0,low
4339,45,male,African-American,13,0,0,F,public order crime,1,1,0.6723004190308048,7.0,medium
2951,21,male,African-American,0,0,0,F,property crime,1,1,0.5023996024918893,5.0,medium
2322,68,male,Caucasian,4,0,0,M,violent crime,0,0,0.3762885944076864,4.0,low
5771,26,male,Caucasian,7,0,0,F,weapons-related crime,1,1,0.8121586370144088,8.0,high
2333,32,male,Asian,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
2868,42,male,Caucasian,4,0,0,F,property crime,1,1,0.5411653861554263,5.0,medium
1353,34,male,Caucasian,2,0,0,M,arrested but not charged,0,0,0.3163678043065895,3.0,low
1767,33,male,African-American,6,0,0,M,violent crime,0,1,0.624379483517183,6.0,medium
2148,37,male,Other,0,0,0,M,violent crime,0,0,0.2486009784404407,2.0,low
4146,29,male,Caucasian,0,0,0,F,violent crime,0,0,0.261151093823345,3.0,low
1824,26,male,Hispanic,0,0,0,M,violent crime,0,0,0.2817556497576287,3.0,low
6622,32,female,Caucasian,4,0,0,F,obstruction of justice,0,1,0.7327965438514003,7.0,medium
2342,30,male,Hispanic,3,0,0,M,violent crime,1,1,0.621959446439778,6.0,medium
170,22,male,African-American,0,0,0,F,violent crime,1,0,0.4436619297997659,4.0,low
5415,23,male,African-American,3,1,0,F,drug crime,1,1,0.7722241959355564,8.0,high
298,39,male,African-American,6,0,0,F,violent crime,1,1,0.5378199947549468,5.0,medium
3732,64,male,African-American,20,0,0,F,public order crime,0,1,0.6766005441900835,7.0,medium
4469,61,female,Caucasian,15,0,0,F,property crime,0,1,0.8037751455999763,8.0,high
956,28,female,African-American,4,0,0,F,arrested but not charged,0,1,0.612181755545714,6.0,medium
2409,40,male,Caucasian,0,0,0,M,violent crime,0,0,0.20148219385464944,2.0,low
2939,27,male,African-American,5,0,0,F,property crime,1,1,0.7891205423773354,8.0,high
2717,51,male,Caucasian,4,0,0,M,violent crime,0,0,0.44846735750845473,4.0,low
3000,37,male,Hispanic,4,0,0,M,property crime,0,1,0.5446499328492135,5.0,medium
6027,31,male,Caucasian,2,0,0,F,drug crime,1,1,0.6130912687537253,6.0,medium
4697,21,male,African-American,0,0,0,F,property crime,0,1,0.5023996024918893,5.0,medium
4672,46,female,Caucasian,2,0,0,F,property crime,0,0,0.41000684639686946,4.0,low
4592,24,male,Caucasian,3,0,0,F,property crime,1,1,0.7664424140403412,8.0,high
963,41,female,Other,2,0,0,F,arrested but not charged,0,0,0.24591744751454425,2.0,low
2105,44,male,Caucasian,0,0,0,M,violent crime,1,0,0.20541883401419378,2.0,low
6402,25,male,Caucasian,2,0,0,F,drug crime,1,1,0.6560948178252718,7.0,medium
4657,46,female,African-American,2,0,0,F,property crime,1,0,0.41000684639686946,4.0,low
5793,20,male,Caucasian,0,0,0,F,weapons-related crime,1,1,0.5290984150576847,5.0,medium
2210,26,male,African-American,0,0,0,M,violent crime,0,0,0.2817556497576287,3.0,low
5896,29,male,African-American,5,0,0,F,drug crime,1,1,0.7459306076295852,7.0,medium
4663,48,female,Other,0,0,0,F,property crime,0,0,0.24331465564745725,2.0,low
559,22,male,African-American,3,0,0,F,arrested but not charged,1,1,0.6510832814038309,7.0,medium
1064,34,male,African-American,1,0,0,F,arrested but not charged,0,0,0.29113157509494975,3.0,low
6403,44,female,African-American,6,0,0,F,drug crime,0,1,0.6160591845893894,6.0,medium
5802,50,male,Caucasian,0,0,0,F,public order crime,0,0,0.19981039141190074,2.0,low
5517,19,male,African-American,2,0,2,F,drug crime,1,1,0.9650805067702298,10.0,high
4793,22,male,Hispanic,1,0,0,F,property crime,1,1,0.665191262328213,7.0,medium
3073,30,male,African-American,2,0,0,F,property crime,0,1,0.5890402002101582,6.0,medium
5417,31,male,Other,0,0,0,F,drug crime,0,0,0.3208049629743959,3.0,low
4837,20,male,Caucasian,0,0,0,F,property crime,1,1,0.6051933633987621,6.0,medium
3118,21,male,African-American,1,0,1,F,weapons-related crime,0,1,0.7446834433948797,7.0,medium
3319,21,male,Hispanic,0,0,0,F,drug crime,0,1,0.514193674396601,5.0,medium
237,20,female,Other,0,0,0,M,violent crime,1,1,0.7261196074316087,7.0,medium
21,51,male,Caucasian,2,0,0,F,violent crime,0,0,0.33755184237028846,3.0,low
2791,21,male,African-American,0,0,0,F,violent crime,1,1,0.5081846107559159,5.0,medium
6195,36,female,African-American,1,0,0,F,drug crime,1,0,0.4101935231588991,4.0,low
4914,33,male,African-American,3,0,0,F,property crime,1,1,0.6405058568766797,6.0,medium
6176,25,male,African-American,2,1,0,F,drug crime,1,1,0.6907346352778827,7.0,medium
1008,22,male,African-American,1,0,0,F,arrested but not charged,0,1,0.5175327323734152,5.0,medium
7058,30,male,Caucasian,1,0,0,F,fraud and financial crime,0,0,0.416435490171729,4.0,low
1875,33,male,African-American,2,0,0,M,violent crime,1,0,0.46811912998572336,5.0,medium
5395,22,male,African-American,1,0,1,F,drug crime,0,1,0.7227847835507724,7.0,medium
6367,36,female,Other,6,0,1,F,drug crime,1,1,0.5841845569915642,6.0,medium
1772,30,male,Caucasian,3,0,0,M,violent crime,0,1,0.621959446439778,6.0,medium
436,32,male,Caucasian,1,0,0,F,arrested but not charged,1,0,0.29113157509494975,3.0,low
6714,21,male,Other,0,0,0,F,property crime,0,1,0.5023996024918893,5.0,medium
2261,26,female,Other,4,0,0,M,violent crime,1,1,0.6903482905573463,7.0,medium
3176,25,male,African-American,0,0,0,F,fraud and financial crime,1,0,0.3535093559788848,4.0,low
36,34,female,African-American,5,0,0,F,violent crime,1,1,0.5611979055243401,6.0,medium
867,51,male,African-American,22,0,0,F,arrested but not charged,1,1,0.8673354661426536,9.0,high
2127,48,male,Hispanic,1,0,0,M,violent crime,0,0,0.2739562144704394,3.0,low
6484,45,male,Caucasian,5,0,0,F,drug crime,1,1,0.5337252405815298,5.0,medium
71,45,female,African-American,1,0,0,F,violent crime,0,0,0.279725174414664,3.0,low
367,53,male,Caucasian,8,0,0,F,arrested but not charged,0,1,0.5050823944202101,5.0,medium
3500,30,male,African-American,0,0,0,M,public order crime,0,0,0.2319026150630247,2.0,low
3857,77,male,African-American,0,0,0,M,public order crime,0,0,0.04304217807765407,0.0,Undefined
7030,52,male,African-American,0,0,0,F,fraud and financial crime,0,0,0.13639752803819982,1.0,low
2232,26,female,Caucasian,2,0,0,M,violent crime,0,1,0.6235370531544319,6.0,medium
5543,31,male,African-American,13,1,1,F,drug crime,1,1,0.8412735873305981,8.0,high
5508,30,male,African-American,6,0,0,F,drug crime,0,1,0.7583537950223028,8.0,high
2926,22,male,Hispanic,0,0,0,F,property crime,1,0,0.4759564923717426,5.0,medium
6785,62,male,Caucasian,2,0,0,F,drug crime,0,0,0.39070728236695373,4.0,low
2698,36,female,African-American,1,0,0,M,violent crime,0,0,0.3281823649996816,3.0,low
6124,25,male,African-American,1,0,0,F,drug crime,1,0,0.4719561027310873,5.0,medium
3341,41,male,Caucasian,1,0,0,F,drug crime,0,0,0.37756495344553925,4.0,low
5253,29,male,African-American,11,0,0,M,public order crime,0,1,0.8109639901266082,8.0,high
5374,55,female,African-American,1,0,0,F,drug crime,0,0,0.3252072358764681,3.0,low
4618,21,male,Caucasian,0,0,0,M,property crime,1,1,0.500082623983875,5.0,medium
2004,51,male,Caucasian,0,0,0,M,violent crime,0,0,0.21076259744558962,2.0,low
5553,23,male,Other,6,0,0,F,drug crime,1,1,0.7933018952266422,8.0,high
3479,26,male,African-American,1,0,0,M,public order crime,1,0,0.3989557162164992,4.0,low
5938,51,male,Caucasian,0,0,0,F,drug crime,0,0,0.28962004423207227,3.0,low
1241,24,male,Caucasian,0,0,0,F,arrested but not charged,1,0,0.2863395686234443,3.0,low
5407,24,male,African-American,1,0,0,F,drug crime,1,0,0.47651309894067356,5.0,medium
4516,65,female,Caucasian,0,0,0,F,fraud and financial crime,0,0,0.07685565747294487,1.0,low
1671,35,male,African-American,1,0,0,M,violent crime,1,0,0.3281823649996816,3.0,low
4625,41,male,African-American,1,0,0,F,property crime,0,0,0.3183858317936438,3.0,low
1194,32,male,African-American,7,0,3,F,arrested but not charged,1,1,0.6335780665654737,6.0,medium
4887,39,male,Caucasian,10,0,0,F,property crime,1,1,0.7722379966396902,8.0,high
5079,36,male,African-American,0,0,0,F,obstruction of justice,0,0,0.379587634674041,4.0,low
6288,24,male,African-American,1,0,0,F,drug crime,1,0,0.47651309894067356,5.0,medium
1215,29,male,African-American,2,0,0,F,arrested but not charged,0,0,0.45467201118217737,5.0,medium
2594,32,female,African-American,0,0,0,M,violent crime,1,0,0.24972504552698355,2.0,low
490,49,male,African-American,3,0,0,F,arrested but not charged,1,0,0.28478503243495173,3.0,low
3651,27,male,African-American,15,1,1,F,public order crime,1,1,0.854989060750643,9.0,high
1179,61,male,Hispanic,0,0,0,F,arrested but not charged,0,0,0.10658577650607469,1.0,low
2718,54,female,Caucasian,1,0,0,M,violent crime,0,0,0.24087748822095414,2.0,low
6224,60,male,African-American,2,0,0,F,drug crime,0,0,0.40014177962393566,4.0,low
2582,46,male,Caucasian,0,0,0,M,violent crime,1,0,0.20541883401419378,2.0,low
3151,20,male,Caucasian,0,0,0,F,violent crime,0,1,0.7178026098730708,7.0,medium
7048,23,male,African-American,6,0,0,F,fraud and financial crime,1,1,0.8093059062152178,8.0,high
4607,39,female,African-American,0,0,0,F,property crime,1,0,0.24523138772365105,2.0,low
4595,46,male,Other,0,0,0,F,property crime,1,0,0.252506613238947,3.0,low
1769,24,male,Caucasian,4,0,0,M,violent crime,0,1,0.6942415908817969,7.0,medium
4094,45,female,African-American,2,0,0,F,public order crime,0,0,0.3169160085309939,3.0,low
6658,31,male,African-American,25,0,3,M,obstruction of justice,1,1,0.904713800504877,9.0,high
2125,30,male,African-American,1,0,0,M,violent crime,0,0,0.33859888933561394,3.0,low
5282,23,male,Caucasian,3,0,0,M,property crime,1,1,0.7499670198458961,7.0,medium
5226,26,male,African-American,0,0,0,M,public order crime,1,0,0.2624468856941882,3.0,low
6440,25,male,Caucasian,0,0,0,F,drug crime,0,0,0.3112206432337261,3.0,low
462,60,female,Caucasian,9,0,0,F,arrested but not charged,1,0,0.4314468426797127,4.0,low
5038,36,male,Caucasian,1,0,0,F,property crime,0,0,0.36198097033127963,4.0,low
6607,32,male,Caucasian,5,0,0,F,obstruction of justice,1,1,0.7381107434651811,7.0,medium
4679,36,male,Other,0,0,0,F,property crime,0,0,0.2775901882049158,3.0,low
7006,28,female,African-American,6,0,0,M,public order crime,1,1,0.6490205399516885,6.0,medium
500,21,male,Hispanic,1,0,0,F,arrested but not charged,1,1,0.520838813166807,5.0,medium
607,66,male,Caucasian,1,0,0,F,arrested but not charged,0,0,0.17849473588182055,2.0,low
4899,23,male,African-American,1,0,0,F,property crime,0,1,0.5127791217058377,5.0,medium
1731,53,male,Hispanic,0,0,0,M,violent crime,0,0,0.18338687109581286,2.0,low
4460,29,male,Other,8,0,0,F,property crime,1,1,0.9046359915433428,9.0,high
3119,48,male,Other,7,0,0,F,weapons-related crime,0,1,0.663945798319794,7.0,medium
6659,25,male,African-American,0,0,0,M,obstruction of justice,1,0,0.377335548632634,4.0,low
2549,36,male,Hispanic,1,0,0,M,violent crime,0,0,0.3281823649996816,3.0,low
6869,56,male,Caucasian,1,0,0,F,obstruction of justice,1,0,0.2587147626366453,3.0,low
46,46,male,African-American,5,0,0,F,obstruction of justice,1,1,0.5318911107862928,5.0,medium
3881,63,male,African-American,0,0,0,M,public order crime,0,0,0.10976965625534946,1.0,low
186,32,male,Caucasian,2,0,0,F,violent crime,0,0,0.48310349368823163,5.0,medium
2415,31,male,Caucasian,3,0,0,M,violent crime,1,1,0.6200067899687304,6.0,medium
396,23,female,Caucasian,5,0,0,F,arrested but not charged,1,1,0.6768604965284123,7.0,medium
6476,26,male,Caucasian,2,0,0,F,drug crime,0,1,0.6560948178252718,7.0,medium
3912,62,male,Caucasian,0,0,0,M,public order crime,0,0,0.09735605117511663,1.0,low
3499,44,male,African-American,3,0,0,M,public order crime,0,0,0.3466896439652379,3.0,low
6568,27,male,African-American,2,0,0,M,public order crime,1,1,0.5783269104467528,6.0,medium
5687,31,male,Caucasian,2,1,0,M,drug crime,1,1,0.635956483682328,6.0,medium
5445,22,male,African-American,0,0,0,F,drug crime,1,0,0.4638015721905151,5.0,medium
5829,59,male,Caucasian,0,0,0,F,drug crime,0,0,0.21278350519717015,2.0,low
5472,31,female,Caucasian,9,0,0,F,fraud and financial crime,1,1,0.8408971466834251,8.0,high
505,55,male,Hispanic,1,0,0,F,arrested but not charged,1,0,0.16954113656689349,2.0,low
2618,31,male,Caucasian,2,0,0,M,violent crime,1,1,0.5275522405080505,5.0,medium
260,35,male,Hispanic,2,0,0,F,violent crime,0,0,0.41451885404237643,4.0,low
2052,29,male,Caucasian,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
4876,28,male,Caucasian,0,0,0,F,property crime,0,0,0.2966799206451719,3.0,low
3231,30,female,African-American,11,0,0,F,property crime,1,1,0.8980477571782647,9.0,high
3562,55,female,Caucasian,0,0,0,M,public order crime,0,0,0.16804221162401636,2.0,low
4031,24,female,African-American,0,0,0,M,violent crime,0,0,0.2817556497576287,3.0,low
3569,45,male,Caucasian,1,0,0,M,public order crime,1,0,0.23762586529837307,2.0,low
331,31,female,African-American,2,0,0,F,violent crime,1,1,0.5424986265011453,5.0,medium
3902,57,male,African-American,8,0,0,M,public order crime,1,1,0.5729615254998618,6.0,medium
6824,51,male,African-American,4,0,0,M,public order crime,1,0,0.3927629778534517,4.0,low
5873,25,male,Caucasian,0,0,0,F,drug crime,0,0,0.3112206432337261,3.0,low
232,26,female,Caucasian,0,0,0,F,violent crime,0,0,0.2940728175634635,3.0,low
6143,48,male,Caucasian,20,0,0,F,drug crime,1,1,0.7836382932598455,8.0,high
3089,27,female,Caucasian,0,0,0,F,property crime,0,0,0.31944846741510513,3.0,low
3307,25,male,African-American,0,0,0,F,drug crime,0,0,0.3112206432337261,3.0,low
723,35,male,Hispanic,2,0,0,F,arrested but not charged,0,0,0.34447838352509397,3.0,low
5993,20,male,African-American,0,0,0,F,drug crime,1,1,0.598429643052128,6.0,medium
6881,27,male,African-American,2,0,0,F,obstruction of justice,1,1,0.7389605411387131,7.0,medium
1805,23,female,African-American,0,0,0,M,violent crime,0,0,0.3117046550910515,3.0,low
1631,50,female,Caucasian,1,0,0,M,violent crime,1,0,0.2739562144704394,3.0,low
2050,44,male,Caucasian,2,0,0,M,violent crime,0,0,0.34214813604341904,3.0,low
6180,33,male,African-American,3,0,0,F,drug crime,1,1,0.6229336396946287,6.0,medium
6280,41,male,Hispanic,1,0,0,F,drug crime,1,0,0.37756495344553925,4.0,low
177,42,male,Caucasian,0,0,0,F,violent crime,0,0,0.20825180225911402,2.0,low
2243,23,female,African-American,0,0,0,M,violent crime,1,0,0.3117046550910515,3.0,low
1394,26,male,African-American,5,0,1,M,arrested but not charged,0,1,0.5241364731667534,5.0,medium
4488,40,male,African-American,3,0,0,F,obstruction of justice,1,1,0.5024509370979627,5.0,medium
1669,31,male,African-American,1,0,0,M,violent crime,0,0,0.34346020475889794,3.0,low
1526,39,male,African-American,0,0,0,M,violent crime,1,0,0.20580576232055348,2.0,low
5839,21,female,African-American,0,0,0,F,drug crime,1,1,0.514193674396601,5.0,medium
4781,54,male,Caucasian,1,0,0,F,property crime,0,0,0.2721466255427046,3.0,low
530,28,male,African-American,5,0,0,F,arrested but not charged,1,1,0.6327784119652459,6.0,medium
1941,34,male,Caucasian,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
2905,23,male,African-American,0,0,0,F,property crime,1,0,0.347354548528676,3.0,low
3703,37,male,Caucasian,11,0,0,F,public order crime,1,1,0.6595667246783954,7.0,medium
2723,36,female,Caucasian,4,0,0,M,violent crime,1,0,0.4995714127493665,5.0,medium
2371,29,male,African-American,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
2998,36,female,Hispanic,0,0,0,M,property crime,0,0,0.2781048280332854,3.0,low
3309,41,male,African-American,19,0,0,F,drug crime,1,1,0.8314642684543276,8.0,high
4923,29,female,African-American,0,0,0,F,property crime,0,0,0.2811821390119207,3.0,low
6001,35,male,African-American,13,0,0,F,drug crime,1,1,0.7493611771457658,7.0,medium
6188,23,male,African-American,6,0,0,F,drug crime,1,1,0.7933018952266422,8.0,high
1543,21,male,Other,0,0,0,F,property crime,0,1,0.5023996024918893,5.0,medium
2191,44,female,Caucasian,0,0,0,M,violent crime,0,0,0.20541883401419378,2.0,low
7053,24,female,Caucasian,0,0,0,F,fraud and financial crime,0,0,0.3535093559788848,4.0,low
6021,30,male,African-American,8,0,0,F,drug crime,1,1,0.8740688528703744,9.0,high
803,30,male,African-American,14,0,0,F,arrested but not charged,1,1,0.8178420246232831,8.0,high
4708,19,male,African-American,3,0,2,F,property crime,1,1,0.973588013502589,10.0,high
4585,24,male,African-American,1,0,0,F,property crime,1,0,0.4815349824162457,5.0,medium
2056,29,male,African-American,2,0,1,M,violent crime,1,1,0.522157598715726,5.0,medium
5011,34,male,African-American,0,0,0,F,property crime,0,0,0.2811821390119207,3.0,low
6842,28,male,African-American,0,0,0,M,public order crime,1,0,0.24561234839575047,2.0,low
4922,29,male,Caucasian,0,0,0,F,property crime,1,0,0.2811821390119207,3.0,low
3038,21,male,African-American,0,0,0,F,property crime,1,1,0.5023996024918893,5.0,medium
933,26,female,African-American,1,0,0,F,arrested but not charged,0,0,0.38565109633730105,4.0,low
4390,37,male,African-American,6,0,0,F,public order crime,1,1,0.5329458755226851,5.0,medium
3186,38,male,Hispanic,3,0,0,F,fraud and financial crime,1,0,0.454807196513287,5.0,medium
5794,31,male,Caucasian,2,0,0,F,weapons-related crime,0,1,0.5601849301576423,6.0,medium
1486,30,male,Caucasian,1,0,0,M,arrested but not charged,1,0,0.23490521622391217,2.0,low
4378,40,male,African-American,2,0,0,F,public order crime,0,0,0.3169160085309939,3.0,low
2048,50,female,African-American,0,0,0,M,violent crime,0,0,0.21076259744558962,2.0,low
78,48,female,Other,0,0,0,F,violent crime,0,0,0.20209504754942303,2.0,low
7092,46,male,Caucasian,4,0,0,F,public order crime,0,0,0.42040521052482727,4.0,low
1581,24,male,Caucasian,1,0,0,M,violent crime,1,0,0.441428255635082,4.0,low
4047,27,male,African-American,1,0,0,M,public order crime,0,0,0.40327683582162316,4.0,low
6435,35,male,Hispanic,0,0,0,F,drug crime,0,0,0.31693002021742533,3.0,low
4199,29,male,Caucasian,2,0,0,F,violent crime,0,1,0.5371249080195784,5.0,medium
4397,63,male,Caucasian,2,0,0,F,public order crime,0,0,0.2690640794819793,3.0,low
1809,23,male,African-American,0,0,0,M,violent crime,1,0,0.3117046550910515,3.0,low
1904,39,male,Caucasian,0,0,0,M,violent crime,0,0,0.20580576232055348,2.0,low
1930,37,male,Caucasian,1,0,0,M,violent crime,1,0,0.3281823649996816,3.0,low
6983,33,female,African-American,3,0,0,M,property crime,1,1,0.6383690603389817,6.0,medium
2177,29,male,Caucasian,0,0,0,M,violent crime,0,0,0.24972504552698355,2.0,low
5936,41,female,African-American,7,0,0,F,drug crime,1,1,0.7221252598842184,7.0,medium
3050,30,male,Caucasian,1,0,0,F,property crime,0,0,0.3756459772280792,4.0,low
7073,24,male,African-American,6,0,0,F,fraud and financial crime,1,1,0.7899322711270158,8.0,high
1164,21,male,Hispanic,4,1,0,F,arrested but not charged,1,1,0.718786145286332,7.0,medium
6356,54,male,African-American,21,0,0,F,drug crime,0,1,0.8270567683029795,8.0,high
5947,51,female,African-American,7,0,0,F,drug crime,0,1,0.7184626569097704,7.0,medium
4627,25,male,African-American,2,0,0,F,property crime,1,1,0.6847956071650514,7.0,medium
4832,27,male,Caucasian,0,0,0,F,property crime,0,0,0.31944846741510513,3.0,low
2999,21,male,Caucasian,0,0,0,M,property crime,0,1,0.500082623983875,5.0,medium
2064,24,male,African-American,1,0,0,M,violent crime,1,0,0.441428255635082,4.0,low
1115,34,female,African-American,5,0,0,F,arrested but not charged,1,0,0.46573920335373453,5.0,medium
3084,21,male,African-American,1,0,1,M,property crime,1,1,0.7218025087822326,7.0,medium
5299,53,male,African-American,5,0,0,M,property crime,0,1,0.5223727849287183,5.0,medium
