age,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type,is_recid,id
65.0,4,0,0,F,violent crime,0,2403
64.0,4,0,0,M,violent crime,0,2403
54,10.0,0,0,M,public order crime,1,3871
81.0,36.0,0,0,M,public order crime,1,3871
91.0,30.0,0,0,M,public order crime,1,3871
27,1.0,0,1,M,violent crime,0,1869
53.0,4,0,1,F,violent crime,0,1869
60.0,4,0,1,M,violent crime,0,1869
54.0,32.0,0,0,M,violent crime,1,2130
23.0,16.0,0,0,M,violent crime,1,2130
40,28.0,0,0,F,violent crime,1,2130
23.0,16.0,0,0,M,public order crime,1,3410
21,19.0,0,0,F,public order crime,1,3410
21,3.0,0,0,M,public order crime,1,3410
72.0,4,0,0,M,drug crime,0,6453
77.0,7.0,0,0,F,drug crime,0,6453
55.0,3.0,0,0,F,drug crime,0,6453
71.0,11.0,0,0,F,drug crime,0,5593
55.0,3.0,0,0,F,drug crime,0,5593
42.0,0.0,0,0,F,drug crime,0,5593
20.0,4,0,0,F,public order crime,1,356
20.0,30.0,0,0,M,public order crime,1,356
49.0,9.0,0,0,M,public order crime,1,356
74.0,5,0,1,M,violent crime,0,2003
33,1.0,0,1,F,violent crime,0,2003
37.0,5,0,1,M,violent crime,0,2003
88.0,6.0,0,0,F,property crime,1,4630
69.0,29.0,0,0,F,property crime,1,4630
59,6.0,0,0,M,property crime,1,4630
63.0,26.0,0,0,M,violent crime,1,2349
41.0,33.0,0,0,M,violent crime,1,2349
44,8.0,0,0,F,violent crime,1,2349
79.0,1,0,0,F,violent crime,1,2086
28.0,11.0,0,0,M,violent crime,1,2086
38,29.0,0,0,M,violent crime,1,2086
55,10.0,0,0,M,public order crime,1,3852
81.0,36.0,0,0,M,public order crime,1,3852
91.0,30.0,0,0,M,public order crime,1,3852
96.0,28.0,0,0,F,property crime,1,4700
24.0,4,0,0,F,property crime,1,4700
82.0,4,0,0,M,property crime,1,4700
39.0,22.0,0,0,M,violent crime,1,1645
62.0,18.0,0,0,M,violent crime,1,1645
82.0,35.0,0,0,M,violent crime,1,1645
76.0,6,0,0,F,violent crime,0,2149
66.0,6,0,0,F,violent crime,0,2149
70.0,6,0,0,M,violent crime,0,2149
50,5.0,0,0,F,violent crime,0,63
76.0,1.0,0,0,F,violent crime,0,63
72.0,27.0,0,0,F,violent crime,0,63
50,24.0,0,0,F,violent crime,1,305
19.0,17.0,0,0,F,violent crime,1,305
50,38.0,0,0,F,violent crime,1,305
95.0,27.0,0,0,F,public order crime,0,3831
71.0,34.0,0,0,F,public order crime,0,3831
40.0,5.0,0,0,F,public order crime,0,3831
45.0,2,0,0,F,property crime,0,4815
27.0,1.0,0,0,F,property crime,0,4815
90.0,0.0,0,0,F,property crime,0,4815
34.0,2,0,0,M,property crime,1,4424
27.0,16.0,0,0,F,property crime,1,4424
41,10.0,0,0,F,property crime,1,4424
39.0,2,0,0,M,drug crime,0,6219
44.0,2,0,0,M,drug crime,0,6219
39.0,2,0,0,F,drug crime,0,6219
48.0,13.0,0,0,F,fraud and financial crime,1,5463
53,35.0,0,0,F,fraud and financial crime,1,5463
20.0,25.0,0,0,F,fraud and financial crime,1,5463
31.0,16.0,0,0,M,violent crime,1,2045
27,8.0,0,0,F,violent crime,1,2045
39.0,22.0,0,0,M,violent crime,1,2045
19.0,0,0,0,M,violent crime,1,2295
28,37.0,0,0,F,violent crime,1,2295
28,3.0,0,0,M,violent crime,1,2295
59.0,30.0,0,0,M,violent crime,1,2643
62.0,37.0,0,0,M,violent crime,1,2643
37.0,11.0,0,0,M,violent crime,1,2643
27,1.0,0,0,F,property crime,0,4867
55.0,3.0,0,0,F,property crime,0,4867
36.0,2.0,0,0,F,property crime,0,4867
51,33.0,0,0,F,drug crime,1,6236
19.0,17.0,0,0,F,drug crime,1,6236
58.0,6.0,0,0,F,drug crime,1,6236
70.0,6,0,1,F,property crime,0,4717
55.0,3.0,0,1,F,property crime,0,4717
72.0,27.0,0,1,F,property crime,0,4717
72.0,4,1,1,F,property crime,0,3072
95.0,27.0,1,1,F,property crime,0,3072
70.0,4,1,1,F,property crime,0,3072
33.0,32.0,0,0,M,obstruction of justice,1,4054
61.0,6.0,0,0,M,obstruction of justice,1,4054
57,10.0,0,0,M,obstruction of justice,1,4054
79.0,27.0,0,0,F,violent crime,0,193
72.0,29.0,0,0,F,violent crime,0,193
59.0,5,0,0,F,violent crime,0,193
96.0,28.0,0,0,M,violent crime,1,2081
54.0,32.0,0,0,M,violent crime,1,2081
29.0,10.0,0,0,M,violent crime,1,2081
81.0,36.0,0,0,M,violent crime,1,1601
62.0,37.0,0,0,M,violent crime,1,1601
88.0,1,0,0,F,violent crime,1,1601
29,18.0,0,0,M,public order crime,1,4011
29,19.0,0,0,F,public order crime,1,4011
29,3.0,0,0,M,public order crime,1,4011
27.0,1,0,0,F,drug crime,0,6013
72.0,1,0,0,M,drug crime,0,6013
51.0,1,0,0,F,drug crime,0,6013
64.0,1.0,0,0,F,arrested but not charged,0,1229
55.0,6.0,0,0,F,arrested but not charged,0,1229
67.0,5.0,0,0,F,arrested but not charged,0,1229
71.0,11.0,0,0,F,drug crime,0,6444
55.0,3.0,0,0,F,drug crime,0,6444
42.0,0.0,0,0,F,drug crime,0,6444
26.0,6.0,0,0,F,drug crime,1,5859
32.0,33.0,0,0,F,drug crime,1,5859
84.0,19.0,0,0,F,drug crime,1,5859
74.0,3,0,0,M,violent crime,0,2260
70.0,3,0,0,F,violent crime,0,2260
41.0,3,0,0,M,violent crime,0,2260
18.0,1,0,0,F,public order crime,1,3556
31.0,16.0,0,0,M,public order crime,1,3556
85.0,1,0,0,M,public order crime,1,3556
42,24.0,0,0,M,violent crime,1,2240
69.0,29.0,0,0,M,violent crime,1,2240
42,38.0,0,0,M,violent crime,1,2240
61.0,2,0,0,M,drug crime,0,5891
75.0,2,0,0,F,drug crime,0,5891
66.0,2,0,0,M,drug crime,0,5891
31.0,16.0,0,0,M,public order crime,1,3469
39,24.0,0,0,F,public order crime,1,3469
39,7.0,0,0,F,public order crime,1,3469
50,24.0,0,0,M,violent crime,1,2241
69.0,29.0,0,0,M,violent crime,1,2241
50,38.0,0,0,M,violent crime,1,2241
32.0,5,0,0,M,violent crime,1,5183
68.0,9.0,0,0,F,violent crime,1,5183
39.0,22.0,0,0,F,violent crime,1,5183
36.0,18.0,0,0,F,arrested but not charged,1,538
45.0,29.0,0,0,F,arrested but not charged,1,538
83.0,20.0,0,0,F,arrested but not charged,1,538
54.0,15.0,0,0,F,violent crime,1,57
19.0,17.0,0,0,F,violent crime,1,57
27,3.0,0,0,F,violent crime,1,57
32,37.0,0,0,F,violent crime,1,1761
28.0,11.0,0,0,M,violent crime,1,1761
32,3.0,0,0,M,violent crime,1,1761
19.0,0,0,0,F,violent crime,1,91
96.0,28.0,0,0,F,violent crime,1,91
29,3.0,0,0,F,violent crime,1,91
31,1.0,0,0,M,violent crime,0,1868
95.0,27.0,0,0,M,violent crime,0,1868
60.0,5,0,0,M,violent crime,0,1868
55.0,3,0,0,M,public order crime,0,3511
71.0,3,0,0,F,public order crime,0,3511
37.0,3,0,0,M,public order crime,0,3511
28.0,2,0,0,M,violent crime,1,95
38,35.0,0,0,F,violent crime,1,95
31.0,2,0,0,F,violent crime,1,95
18.0,8.0,0,0,F,drug crime,1,5632
48.0,13.0,0,0,F,drug crime,1,5632
95.0,1,0,0,M,drug crime,1,5632
74.0,6,0,0,F,arrested but not charged,0,1048
77.0,7.0,0,0,F,arrested but not charged,0,1048
41.0,6,0,0,F,arrested but not charged,0,1048
59.0,3,0,0,M,drug crime,0,5739
27.0,1.0,0,0,M,drug crime,0,5739
74.0,3,0,0,F,drug crime,0,5739
35.0,19.0,0,0,F,property crime,1,3239
67.0,35.0,0,0,F,property crime,1,3239
30.0,31.0,0,0,F,property crime,1,3239
72.0,19,1,0,M,drug crime,0,6295
51,1.0,1,0,M,drug crime,0,6295
51,1.0,1,0,F,drug crime,0,6295
63.0,2,0,0,M,arrested but not charged,0,998
63.0,2,0,0,F,arrested but not charged,0,998
64.0,2,0,0,F,arrested but not charged,0,998
48.0,13.0,0,0,F,property crime,1,4775
81.0,6.0,0,0,F,property crime,1,4775
29.0,35.0,0,0,F,property crime,1,4775
45.0,31.0,0,0,M,violent crime,1,1895
49.0,17.0,0,0,M,violent crime,1,1895
42,8.0,0,0,F,violent crime,1,1895
44,24.0,0,0,M,violent crime,1,1798
69.0,29.0,0,0,M,violent crime,1,1798
44,38.0,0,0,M,violent crime,1,1798
71.0,7,0,1,M,violent crime,0,1976
67.0,5.0,0,1,M,violent crime,0,1976
72.0,27.0,0,1,M,violent crime,0,1976
68.0,9.0,0,0,F,violent crime,1,4230
59.0,25.0,0,0,F,violent crime,1,4230
86.0,38.0,0,0,F,violent crime,1,4230
72.0,28.0,0,0,F,drug crime,0,3328
69.0,4,0,0,M,drug crime,0,3328
55.0,3.0,0,0,F,drug crime,0,3328
81.0,0.0,0,1,F,drug crime,0,5494
71.0,16,0,1,F,drug crime,0,5494
76.0,4.0,0,1,F,drug crime,0,5494
35.0,19.0,0,0,F,property crime,1,3301
67.0,35.0,0,0,F,property crime,1,3301
30.0,31.0,0,0,F,property crime,1,3301
46.0,8.0,0,0,F,property crime,1,4056
51.0,29.0,0,0,F,property crime,1,4056
49.0,9.0,0,0,F,property crime,1,4056
19.0,23.0,0,0,F,drug crime,1,3317
32.0,8.0,0,0,F,drug crime,1,3317
56.0,9.0,0,0,F,drug crime,1,3317
45,0.0,0,0,F,public order crime,0,4339
76.0,1.0,0,0,F,public order crime,0,4339
79.0,27.0,0,0,F,public order crime,0,4339
36.0,0,0,0,F,property crime,0,2951
45.0,0,0,0,M,property crime,0,2951
76.0,4.0,0,0,F,property crime,0,2951
20.0,25.0,0,0,M,violent crime,1,2322
84.0,19.0,0,0,M,violent crime,1,2322
68,31.0,0,0,F,violent crime,1,2322
66.0,3.0,0,0,F,weapons-related crime,0,5771
73.0,7,0,0,F,weapons-related crime,0,5771
75.0,12.0,0,0,F,weapons-related crime,0,5771
32,37.0,0,0,F,violent crime,1,2333
28.0,11.0,0,0,M,violent crime,1,2333
32,3.0,0,0,M,violent crime,1,2333
75.0,34.0,0,0,F,property crime,0,2868
81.0,0.0,0,0,F,property crime,0,2868
60.0,4,0,0,F,property crime,0,2868
41.0,28.0,0,0,M,arrested but not charged,1,1353
36.0,22.0,0,0,M,arrested but not charged,1,1353
34,18.0,0,0,M,arrested but not charged,1,1353
76.0,6,0,0,F,violent crime,0,1767
66.0,6,0,0,F,violent crime,0,1767
70.0,6,0,0,M,violent crime,0,1767
54.0,32.0,0,0,M,violent crime,1,2148
23.0,16.0,0,0,M,violent crime,1,2148
69.0,32.0,0,0,M,violent crime,1,2148
19.0,0,0,0,F,violent crime,1,4146
96.0,28.0,0,0,F,violent crime,1,4146
29,3.0,0,0,F,violent crime,1,4146
26,37.0,0,0,F,violent crime,1,1824
26,29.0,0,0,F,violent crime,1,1824
26,3.0,0,0,M,violent crime,1,1824
66.0,4,0,0,M,obstruction of justice,0,6622
76.0,1.0,0,0,F,obstruction of justice,0,6622
69.0,29.0,0,0,F,obstruction of justice,0,6622
55.0,3,0,0,M,violent crime,0,2342
71.0,3,0,0,F,violent crime,0,2342
37.0,3,0,0,M,violent crime,0,2342
55.0,19.0,0,0,F,violent crime,1,170
39.0,22.0,0,0,F,violent crime,1,170
22,3.0,0,0,F,violent crime,1,170
23,0.0,1,0,F,drug crime,0,5415
57.0,3,1,0,M,drug crime,0,5415
65.0,3,1,0,M,drug crime,0,5415
43.0,5.0,0,0,F,violent crime,0,298
61.0,27.0,0,0,F,violent crime,0,298
67.0,5.0,0,0,F,violent crime,0,298
72.0,20,0,0,M,public order crime,0,3732
72.0,26.0,0,0,F,public order crime,0,3732
77.0,20,0,0,M,public order crime,0,3732
61,1.0,0,0,F,property crime,0,4469
68.0,2.0,0,0,F,property crime,0,4469
75.0,31.0,0,0,F,property crime,0,4469
55.0,4,0,0,F,arrested but not charged,0,956
77.0,7.0,0,0,F,arrested but not charged,0,956
37.0,4,0,0,F,arrested but not charged,0,956
54.0,32.0,0,0,M,violent crime,1,2409
23.0,16.0,0,0,M,violent crime,1,2409
40,28.0,0,0,F,violent crime,1,2409
27,1.0,0,0,F,property crime,0,2939
55.0,3.0,0,0,F,property crime,0,2939
36.0,2.0,0,0,F,property crime,0,2939
95.0,25.0,0,0,M,violent crime,1,2717
44.0,21.0,0,0,M,violent crime,1,2717
34.0,36.0,0,0,M,violent crime,1,2717
70.0,4,0,0,F,property crime,0,3000
64.0,4,0,0,F,property crime,0,3000
77.0,4,0,0,F,property crime,0,3000
61.0,2,0,0,M,drug crime,0,6027
75.0,2,0,0,F,drug crime,0,6027
66.0,2,0,0,M,drug crime,0,6027
36.0,0,0,0,F,property crime,0,4697
45.0,0,0,0,M,property crime,0,4697
76.0,4.0,0,0,F,property crime,0,4697
24.0,8.0,0,0,F,property crime,1,4672
94.0,7.0,0,0,F,property crime,1,4672
46,10.0,0,0,F,property crime,1,4672
44.0,3,0,0,M,property crime,0,4592
62.0,3,0,0,F,property crime,0,4592
74.0,33.0,0,0,F,property crime,0,4592
80.0,14.0,0,0,F,arrested but not charged,1,963
29.0,15.0,0,0,F,arrested but not charged,1,963
78.0,2,0,0,F,arrested but not charged,1,963
44,24.0,0,0,M,violent crime,1,2105
69.0,29.0,0,0,M,violent crime,1,2105
44,38.0,0,0,M,violent crime,1,2105
61.0,2,0,0,M,drug crime,0,6402
75.0,2,0,0,F,drug crime,0,6402
66.0,2,0,0,M,drug crime,0,6402
24.0,8.0,0,0,F,property crime,1,4657
94.0,7.0,0,0,F,property crime,1,4657
46,10.0,0,0,F,property crime,1,4657
79.0,0,0,0,F,weapons-related crime,0,5793
52.0,0,0,0,M,weapons-related crime,0,5793
75.0,12.0,0,0,F,weapons-related crime,0,5793
26,37.0,0,0,F,violent crime,1,2210
26,29.0,0,0,F,violent crime,1,2210
26,3.0,0,0,M,violent crime,1,2210
75.0,2.0,0,0,F,drug crime,0,5896
81.0,0.0,0,0,F,drug crime,0,5896
63.0,5,0,0,F,drug crime,0,5896
69.0,29.0,0,0,F,property crime,1,4663
55.0,19.0,0,0,F,property crime,1,4663
48,4.0,0,0,F,property crime,1,4663
55.0,3,0,0,F,arrested but not charged,0,559
71.0,11.0,0,0,F,arrested but not charged,0,559
37.0,3,0,0,F,arrested but not charged,0,559
23.0,37.0,0,0,F,arrested but not charged,1,1064
67.0,25.0,0,0,F,arrested but not charged,1,1064
34,18.0,0,0,F,arrested but not charged,1,1064
72.0,6,0,0,F,drug crime,0,6403
36.0,2.0,0,0,F,drug crime,0,6403
77.0,6,0,0,M,drug crime,0,6403
81.0,6.0,0,0,F,public order crime,1,5802
50,27.0,0,0,M,public order crime,1,5802
68.0,18.0,0,0,F,public order crime,1,5802
72.0,28.0,0,2,F,drug crime,0,5517
75.0,12.0,0,2,F,drug crime,0,5517
40.0,2,0,2,M,drug crime,0,5517
27.0,1,0,0,F,property crime,0,4793
45.0,0.0,0,0,F,property crime,0,4793
56.0,1,0,0,F,property crime,0,4793
45.0,2,0,0,F,property crime,0,3073
27.0,1.0,0,0,F,property crime,0,3073
90.0,0.0,0,0,F,property crime,0,3073
31,34.0,0,0,M,drug crime,1,5417
24.0,38.0,0,0,F,drug crime,1,5417
21.0,5.0,0,0,F,drug crime,1,5417
36.0,0,0,0,F,property crime,0,4837
45.0,0,0,0,M,property crime,0,4837
76.0,4.0,0,0,F,property crime,0,4837
27.0,1,0,1,F,weapons-related crime,0,3118
28.0,1,0,1,F,weapons-related crime,0,3118
51.0,1,0,1,F,weapons-related crime,0,3118
47.0,0,0,0,F,drug crime,0,3319
68.0,0,0,0,M,drug crime,0,3319
57.0,0,0,0,M,drug crime,0,3319
53.0,0,0,0,M,violent crime,0,237
71.0,34.0,0,0,M,violent crime,0,237
76.0,11.0,0,0,M,violent crime,0,237
88.0,6.0,0,0,F,violent crime,1,21
30.0,28.0,0,0,F,violent crime,1,21
62.0,18.0,0,0,F,violent crime,1,21
76.0,1.0,0,0,F,violent crime,0,2791
28.0,0,0,0,M,violent crime,0,2791
93.0,0,0,0,F,violent crime,0,2791
61.0,34.0,0,0,F,drug crime,1,6195
40.0,23.0,0,0,F,drug crime,1,6195
20.0,30.0,0,0,F,drug crime,1,6195
44.0,3,0,0,M,property crime,0,4914
62.0,3,0,0,F,property crime,0,4914
74.0,33.0,0,0,F,property crime,0,4914
54.0,2,1,0,M,drug crime,0,6176
40.0,2,1,0,F,drug crime,0,6176
37.0,2,1,0,M,drug crime,0,6176
60.0,1,0,0,F,arrested but not charged,0,1008
39.0,4.0,0,0,F,arrested but not charged,0,1008
32.0,1,0,0,M,arrested but not charged,0,1008
83.0,7.0,0,0,F,fraud and financial crime,1,7058
27.0,1,0,0,F,fraud and financial crime,1,7058
94.0,1,0,0,F,fraud and financial crime,1,7058
40.0,26.0,0,0,M,violent crime,1,1875
33,37.0,0,0,F,violent crime,1,1875
26.0,2,0,0,F,violent crime,1,1875
27.0,1,0,1,F,drug crime,0,5395
72.0,1,0,1,M,drug crime,0,5395
51.0,1,0,1,F,drug crime,0,5395
63.0,6,0,1,F,drug crime,0,6367
72.0,26.0,0,1,F,drug crime,0,6367
76.0,1.0,0,1,F,drug crime,0,6367
55.0,3,0,0,M,violent crime,0,1772
71.0,3,0,0,F,violent crime,0,1772
37.0,3,0,0,M,violent crime,0,1772
31.0,16.0,0,0,F,arrested but not charged,1,436
18.0,8.0,0,0,F,arrested but not charged,1,436
32,28.0,0,0,F,arrested but not charged,1,436
36.0,0,0,0,F,property crime,0,6714
45.0,0,0,0,M,property crime,0,6714
76.0,4.0,0,0,F,property crime,0,6714
55.0,4,0,0,M,violent crime,0,2261
65.0,4,0,0,F,violent crime,0,2261
64.0,4,0,0,M,violent crime,0,2261
18.0,8.0,0,0,F,fraud and financial crime,1,3176
25,19.0,0,0,M,fraud and financial crime,1,3176
39.0,21.0,0,0,F,fraud and financial crime,1,3176
79.0,27.0,0,0,F,violent crime,0,36
72.0,29.0,0,0,F,violent crime,0,36
59.0,5,0,0,F,violent crime,0,36
61.0,3.0,0,0,F,arrested but not charged,0,867
58.0,6.0,0,0,F,arrested but not charged,0,867
67.0,5.0,0,0,F,arrested but not charged,0,867
45.0,31.0,0,0,M,violent crime,1,2127
49.0,17.0,0,0,M,violent crime,1,2127
39.0,22.0,0,0,M,violent crime,1,2127
64.0,1.0,0,0,F,drug crime,0,6484
72.0,5,0,0,M,drug crime,0,6484
64.0,5,0,0,M,drug crime,0,6484
68.0,9.0,0,0,F,violent crime,1,71
59.0,25.0,0,0,F,violent crime,1,71
86.0,38.0,0,0,F,violent crime,1,71
53,2.0,0,0,F,arrested but not charged,0,367
61.0,3.0,0,0,F,arrested but not charged,0,367
67.0,8,0,0,F,arrested but not charged,0,367
30,18.0,0,0,M,public order crime,1,3500
30,37.0,0,0,F,public order crime,1,3500
30,3.0,0,0,M,public order crime,1,3500
82.0,5.0,0,0,M,public order crime,1,3857
59.0,30.0,0,0,M,public order crime,1,3857
20.0,30.0,0,0,M,public order crime,1,3857
62.0,37.0,0,0,F,fraud and financial crime,1,7030
52,27.0,0,0,M,fraud and financial crime,1,7030
52,38.0,0,0,F,fraud and financial crime,1,7030
55.0,2,0,0,M,violent crime,0,2232
35.0,2,0,0,F,violent crime,0,2232
41.0,2,0,0,M,violent crime,0,2232
61.0,3.0,1,1,F,drug crime,0,5543
77.0,34.0,1,1,F,drug crime,0,5543
55.0,3.0,1,1,F,drug crime,0,5543
64.0,6,0,0,F,drug crime,0,5508
68.0,2.0,0,0,F,drug crime,0,5508
76.0,11.0,0,0,F,drug crime,0,5508
35.0,19.0,0,0,F,property crime,1,2926
67.0,35.0,0,0,F,property crime,1,2926
30.0,31.0,0,0,F,property crime,1,2926
91.0,30.0,0,0,F,drug crime,1,6785
96.0,32.0,0,0,F,drug crime,1,6785
62,16.0,0,0,M,drug crime,1,6785
37.0,37.0,0,0,M,violent crime,1,2698
82.0,5.0,0,0,M,violent crime,1,2698
36,29.0,0,0,M,violent crime,1,2698
81.0,36.0,0,0,F,drug crime,1,6124
30.0,28.0,0,0,F,drug crime,1,6124
62.0,18.0,0,0,F,drug crime,1,6124
18.0,8.0,0,0,F,drug crime,1,3341
48.0,13.0,0,0,F,drug crime,1,3341
61.0,10.0,0,0,F,drug crime,1,3341
29,1.0,0,0,M,public order crime,0,5253
52.0,2.0,0,0,M,public order crime,0,5253
72.0,28.0,0,0,M,public order crime,0,5253
55,20.0,0,0,M,drug crime,1,5374
90.0,7.0,0,0,F,drug crime,1,5374
49.0,9.0,0,0,F,drug crime,1,5374
80.0,0,0,0,F,property crime,0,4618
72.0,28.0,0,0,M,property crime,0,4618
40.0,0,0,0,M,property crime,0,4618
51,24.0,0,0,M,violent crime,1,2004
69.0,29.0,0,0,M,violent crime,1,2004
51,38.0,0,0,M,violent crime,1,2004
66.0,3.0,0,0,F,drug crime,0,5553
61.0,6,0,0,F,drug crime,0,5553
60.0,6,0,0,F,drug crime,0,5553
68.0,9.0,0,0,M,public order crime,1,3479
62.0,37.0,0,0,M,public order crime,1,3479
86.0,20.0,0,0,M,public order crime,1,3479
81.0,36.0,0,0,F,drug crime,1,5938
81.0,6.0,0,0,F,drug crime,1,5938
29.0,35.0,0,0,F,drug crime,1,5938
81.0,6.0,0,0,F,arrested but not charged,1,1241
29.0,15.0,0,0,F,arrested but not charged,1,1241
69.0,32.0,0,0,F,arrested but not charged,1,1241
24,26.0,0,0,M,drug crime,1,5407
87.0,1,0,0,M,drug crime,1,5407
24,2.0,0,0,M,drug crime,1,5407
55.0,19.0,0,0,F,fraud and financial crime,1,4516
82.0,5.0,0,0,F,fraud and financial crime,1,4516
65,33.0,0,0,F,fraud and financial crime,1,4516
79.0,1,0,0,F,violent crime,1,1671
82.0,5.0,0,0,M,violent crime,1,1671
35,29.0,0,0,M,violent crime,1,1671
18.0,8.0,0,0,F,property crime,1,4625
33.0,30.0,0,0,F,property crime,1,4625
48.0,13.0,0,0,F,property crime,1,4625
44.0,7,0,3,F,arrested but not charged,0,1194
36.0,2.0,0,3,F,arrested but not charged,0,1194
64.0,7,0,3,F,arrested but not charged,0,1194
77.0,7.0,0,0,F,property crime,0,4887
71.0,10,0,0,F,property crime,0,4887
76.0,4.0,0,0,F,property crime,0,4887
33.0,32.0,0,0,F,obstruction of justice,1,5079
46.0,8.0,0,0,F,obstruction of justice,1,5079
58.0,9.0,0,0,F,obstruction of justice,1,5079
24,26.0,0,0,M,drug crime,1,6288
87.0,1,0,0,M,drug crime,1,6288
24,2.0,0,0,M,drug crime,1,6288
27.0,4.0,0,0,F,arrested but not charged,1,1215
19.0,17.0,0,0,F,arrested but not charged,1,1215
86.0,19.0,0,0,F,arrested but not charged,1,1215
32,37.0,0,0,F,violent crime,1,2594
28.0,11.0,0,0,M,violent crime,1,2594
32,3.0,0,0,M,violent crime,1,2594
49,26.0,0,0,M,arrested but not charged,1,490
34.0,36.0,0,0,F,arrested but not charged,1,490
55.0,19.0,0,0,F,arrested but not charged,1,490
51.0,15,1,1,F,public order crime,0,3651
46.0,5.0,1,1,F,public order crime,0,3651
40.0,5.0,1,1,F,public order crime,0,3651
61,22.0,0,0,M,arrested but not charged,1,1179
61,16.0,0,0,M,arrested but not charged,1,1179
62.0,37.0,0,0,F,arrested but not charged,1,1179
33.0,30.0,0,0,M,violent crime,1,2718
41.0,11.0,0,0,M,violent crime,1,2718
54,38.0,0,0,F,violent crime,1,2718
35.0,36.0,0,0,F,drug crime,1,6224
96.0,32.0,0,0,F,drug crime,1,6224
90.0,38.0,0,0,F,drug crime,1,6224
59.0,30.0,0,0,M,violent crime,1,2582
23.0,16.0,0,0,M,violent crime,1,2582
68.0,18.0,0,0,M,violent crime,1,2582
23.0,0,0,0,M,violent crime,0,3151
71.0,11.0,0,0,F,violent crime,0,3151
40.0,0,0,0,F,violent crime,0,3151
77.0,7.0,0,0,F,fraud and financial crime,0,7048
71.0,11.0,0,0,F,fraud and financial crime,0,7048
65.0,6,0,0,M,fraud and financial crime,0,7048
39,25.0,0,0,F,property crime,1,4607
39,16.0,0,0,M,property crime,1,4607
39,4.0,0,0,F,property crime,1,4607
46,5.0,0,0,M,property crime,1,4595
46,16.0,0,0,M,property crime,1,4595
46,4.0,0,0,F,property crime,1,4595
55.0,4,0,0,M,violent crime,0,1769
65.0,4,0,0,F,violent crime,0,1769
64.0,4,0,0,M,violent crime,0,1769
26.0,36.0,0,0,F,public order crime,1,4094
95.0,25.0,0,0,F,public order crime,1,4094
78.0,9.0,0,0,F,public order crime,1,4094
31,3.0,0,3,F,obstruction of justice,0,6658
45.0,0.0,0,3,M,obstruction of justice,0,6658
48.0,13.0,0,3,M,obstruction of justice,0,6658
81.0,36.0,0,0,M,violent crime,1,2125
23.0,16.0,0,0,M,violent crime,1,2125
88.0,1,0,0,F,violent crime,1,2125
71.0,3,0,0,M,property crime,0,5282
27.0,1.0,0,0,M,property crime,0,5282
74.0,3,0,0,F,property crime,0,5282
19.0,0,0,0,M,public order crime,1,5226
26,19.0,0,0,F,public order crime,1,5226
26,3.0,0,0,M,public order crime,1,5226
19.0,23.0,0,0,F,drug crime,1,6440
32.0,8.0,0,0,F,drug crime,1,6440
56.0,9.0,0,0,F,drug crime,1,6440
60,22.0,0,0,M,arrested but not charged,1,462
62.0,18.0,0,0,F,arrested but not charged,1,462
21.0,23.0,0,0,F,arrested but not charged,1,462
61.0,34.0,0,0,F,property crime,1,5038
40.0,23.0,0,0,F,property crime,1,5038
59.0,33.0,0,0,F,property crime,1,5038
71.0,11.0,0,0,F,obstruction of justice,0,6607
62.0,18.0,0,0,F,obstruction of justice,0,6607
