id,age,priors_count.1,juv_fel_count,juv_misd_count,c_charge_degree,offense_type
2081,29,10,0,0,0,0
1601,81,36,0,0,0,0
1601,62,37,0,0,0,0
1601,88,0,0,0,F,0
4011,0,18,0,0,0,0
4011,0,19,0,0,F,0
4011,0,3,0,0,0,0
6013,27,0,0,0,0,0
6013,72,0,0,0,M,0
6013,51,0,0,0,0,0
1229,64,1,0,0,0,0
1229,55,6,0,0,0,0
1229,67,5,0,0,0,0
6444,71,11,0,0,0,0
6444,55,3,0,0,0,0
6444,42,0,0,0,0,0
5859,26,6,0,0,0,0
5859,32,33,0,0,0,0
5859,84,19,0,0,0,0
2260,74,0,0,0,0,0
2260,70,0,0,0,F,0
2260,41,0,0,0,0,0
3556,18,0,0,0,F,0
3556,31,16,0,0,0,0
3556,85,0,0,0,0,0
2240,0,24,0,0,0,0
2240,69,29,0,0,0,0
2240,0,38,0,0,0,0
5891,61,0,0,0,M,0
5891,75,0,0,0,0,0
5891,66,0,0,0,M,0
3469,31,16,0,0,0,0
3469,0,24,0,0,F,0
3469,0,7,0,0,F,0
2241,0,24,0,0,0,0
2241,69,29,0,0,0,0
2241,0,38,0,0,0,0
5183,32,0,0,0,M,0
5183,68,9,0,0,0,0
5183,39,22,0,0,0,0
538,36,18,0,0,0,0
538,45,29,0,0,0,0
538,83,20,0,0,0,0
57,54,15,0,0,0,0
57,19,17,0,0,0,0
57,0,3,0,0,0,0
1761,0,37,0,0,F,0
1761,28,11,0,0,0,0
1761,0,3,0,0,0,0
91,19,0,0,0,0,0
91,96,28,0,0,0,0
91,0,3,0,0,0,0
1868,0,1,0,0,0,0
1868,95,27,0,0,0,0
1868,60,0,0,0,0,0
3511,55,0,0,0,0,0
3511,71,0,0,0,F,0
3511,37,0,0,0,0,0
95,28,0,0,0,M,0
95,0,35,0,0,0,0
95,31,0,0,0,0,0
5632,18,8,0,0,0,0
5632,48,13,0,0,0,0
5632,95,0,0,0,M,0
1048,74,0,0,0,0,0
1048,77,7,0,0,0,0
1048,41,0,0,0,0,0
5739,59,0,0,0,0,0
5739,27,1,0,0,0,0
5739,74,0,0,0,F,0
3239,35,19,0,0,0,0
3239,67,35,0,0,0,0
3239,30,31,0,0,0,0
6295,72,0,0,0,M,0
6295,0,1,0,0,M,0
6295,0,1,0,0,0,0
998,63,0,0,0,M,0
998,63,0,0,0,0,0
998,64,0,0,0,0,0
4775,48,13,0,0,0,0
4775,81,6,0,0,0,0
4775,29,35,0,0,0,0
1895,45,31,0,0,0,0
1895,49,17,0,0,0,0
1895,0,8,0,0,F,0
1798,0,24,0,0,0,0
1798,69,29,0,0,0,0
1798,0,38,0,0,0,0
1976,71,0,0,0,0,0
1976,67,5,0,0,0,0
1976,72,27,0,0,0,0
4230,68,9,0,0,0,0
4230,59,25,0,0,0,0
4230,86,38,0,0,0,0
3328,72,28,0,0,0,0
3328,69,0,0,0,M,0
3328,55,3,0,0,0,0
5494,81,0,0,0,0,0
5494,71,0,0,0,0,0
5494,76,4,0,0,0,0
3301,35,19,0,0,0,0
3301,67,35,0,0,0,0
3301,30,31,0,0,0,0
4056,46,8,0,0,0,0
4056,51,29,0,0,0,0
4056,49,9,0,0,0,0
3317,19,23,0,0,0,0
3317,32,8,0,0,0,0
3317,56,9,0,0,0,0
4339,0,0,0,0,0,0
4339,76,1,0,0,0,0
4339,79,27,0,0,0,0
2951,36,0,0,0,0,0
2951,45,0,0,0,M,0
2951,76,4,0,0,0,0
2322,20,25,0,0,0,0
2322,84,19,0,0,0,0
2322,0,31,0,0,F,0
5771,66,3,0,0,0,0
5771,73,0,0,0,0,0
5771,75,12,0,0,0,0
2333,0,37,0,0,F,0
2333,28,11,0,0,0,0
2333,0,3,0,0,0,0
2868,75,34,0,0,0,0
2868,81,0,0,0,0,0
2868,60,0,0,0,0,0
1353,41,28,0,0,0,0
1353,36,22,0,0,0,0
1353,0,18,0,0,0,0
1767,76,0,0,0,F,0
1767,66,0,0,0,F,0
1767,70,0,0,0,0,0
2148,54,32,0,0,0,0
2148,23,16,0,0,0,0
2148,69,32,0,0,0,0
4146,19,0,0,0,0,0
4146,96,28,0,0,0,0
4146,0,3,0,0,0,0
1824,0,37,0,0,F,0
1824,0,29,0,0,F,0
1824,0,3,0,0,0,0
6622,66,0,0,0,M,0
6622,76,1,0,0,0,0
6622,69,29,0,0,0,0
2342,55,0,0,0,0,0
2342,71,0,0,0,F,0
2342,37,0,0,0,0,0
170,55,19,0,0,0,0
170,39,22,0,0,0,0
170,0,3,0,0,0,0
5415,0,0,0,0,0,0
5415,57,0,0,0,M,0
5415,65,0,0,0,M,0
298,43,5,0,0,0,0
298,61,27,0,0,0,0
298,67,5,0,0,0,0
3732,72,0,0,0,M,0
3732,72,26,0,0,0,0
3732,77,0,0,0,M,0
4469,0,1,0,0,0,0
4469,68,2,0,0,0,0
4469,75,31,0,0,0,0
956,55,0,0,0,0,0
956,77,7,0,0,0,0
956,37,0,0,0,0,0
2409,54,32,0,0,0,0
2409,23,16,0,0,0,0
2409,0,28,0,0,F,0
2939,0,1,0,0,0,0
2939,55,3,0,0,0,0
2939,36,2,0,0,0,0
2717,95,25,0,0,0,0
2717,44,21,0,0,0,0
2717,34,36,0,0,0,0
3000,70,0,0,0,F,0
3000,64,0,0,0,F,0
3000,77,0,0,0,F,0
6027,61,0,0,0,M,0
6027,75,0,0,0,0,0
6027,66,0,0,0,M,0
4697,36,0,0,0,0,0
4697,45,0,0,0,M,0
4697,76,4,0,0,0,0
4672,24,8,0,0,0,0
4672,94,7,0,0,0,0
4672,0,10,0,0,0,0
4592,44,0,0,0,M,0
4592,62,0,0,0,0,0
4592,74,33,0,0,0,0
963,80,14,0,0,0,0
963,29,15,0,0,0,0
963,78,0,0,0,0,0
2105,0,24,0,0,0,0
2105,69,29,0,0,0,0
2105,0,38,0,0,0,0
6402,61,0,0,0,M,0
6402,75,0,0,0,0,0
6402,66,0,0,0,M,0
4657,24,8,0,0,0,0
4657,94,7,0,0,0,0
4657,0,10,0,0,0,0
5793,79,0,0,0,0,0
5793,52,0,0,0,M,0
5793,75,12,0,0,0,0
2210,0,37,0,0,F,0
2210,0,29,0,0,F,0
2210,0,3,0,0,0,0
5896,75,2,0,0,0,0
5896,81,0,0,0,0,0
5896,63,0,0,0,0,0
4663,69,29,0,0,0,0
4663,55,19,0,0,0,0
4663,0,4,0,0,0,0
559,55,0,0,0,0,0
559,71,11,0,0,0,0
559,37,0,0,0,0,0
1064,23,37,0,0,0,0
1064,67,25,0,0,0,0
1064,0,18,0,0,0,0
6403,72,0,0,0,0,0
6403,36,2,0,0,0,0
6403,77,0,0,0,M,0
5802,81,6,0,0,0,0
5802,0,27,0,0,M,0
5802,68,18,0,0,0,0
5517,72,28,0,0,0,0
5517,75,12,0,0,0,0
5517,40,0,0,0,M,0
4793,27,0,0,0,0,0
4793,45,0,0,0,0,0
4793,56,0,0,0,0,0
3073,45,0,0,0,0,0
3073,27,1,0,0,0,0
3073,90,0,0,0,0,0
5417,0,34,0,0,M,0
5417,24,38,0,0,0,0
5417,21,5,0,0,0,0
4837,36,0,0,0,0,0
4837,45,0,0,0,M,0
4837,76,4,0,0,0,0
3118,27,0,0,0,0,0
3118,28,0,0,0,0,0
3118,51,0,0,0,0,0
3319,47,0,0,0,0,0
3319,68,0,0,0,M,0
3319,57,0,0,0,M,0
237,53,0,0,0,0,0
237,71,34,0,0,0,0
237,76,11,0,0,0,0
21,88,6,0,0,0,0
21,30,28,0,0,0,0
21,62,18,0,0,0,0
2791,76,1,0,0,0,0
2791,28,0,0,0,M,0
2791,93,0,0,0,0,0
6195,61,34,0,0,0,0
6195,40,23,0,0,0,0
6195,20,30,0,0,0,0
4914,44,0,0,0,M,0
4914,62,0,0,0,0,0
4914,74,33,0,0,0,0
6176,54,0,0,0,M,0
6176,40,0,0,0,0,0
6176,37,0,0,0,M,0
1008,60,0,0,0,0,0
1008,39,4,0,0,0,0
1008,32,0,0,0,M,0
7058,83,7,0,0,0,0
7058,27,0,0,0,0,0
7058,94,0,0,0,0,0
1875,40,26,0,0,0,0
1875,0,37,0,0,F,0
1875,26,0,0,0,F,0
5395,27,0,0,0,0,0
5395,72,0,0,0,M,0
5395,51,0,0,0,0,0
6367,63,0,0,0,0,0
6367,72,26,0,0,0,0
6367,76,1,0,0,0,0
1772,55,0,0,0,0,0
1772,71,0,0,0,F,0
1772,37,0,0,0,0,0
436,31,16,0,0,0,0
436,18,8,0,0,0,0
436,0,28,0,0,0,0
6714,36,0,0,0,0,0
6714,45,0,0,0,M,0
6714,76,4,0,0,0,0
2261,55,0,0,0,0,0
2261,65,0,0,0,F,0
2261,64,0,0,0,0,0
3176,18,8,0,0,0,0
3176,0,19,0,0,M,0
3176,39,21,0,0,0,0
36,79,27,0,0,0,0
36,72,29,0,0,0,0
36,59,0,0,0,0,0
867,61,3,0,0,0,0
867,58,6,0,0,0,0
867,67,5,0,0,0,0
2127,45,31,0,0,0,0
2127,49,17,0,0,0,0
2127,39,22,0,0,0,0
6484,64,1,0,0,0,0
6484,72,0,0,0,M,0
6484,64,0,0,0,M,0
71,68,9,0,0,0,0
71,59,25,0,0,0,0
71,86,38,0,0,0,0
367,0,2,0,0,0,0
367,61,3,0,0,0,0
367,67,0,0,0,0,0
3500,0,18,0,0,0,0
3500,0,37,0,0,F,0
3500,0,3,0,0,0,0
3857,82,5,0,0,0,0
3857,59,30,0,0,0,0
3857,20,30,0,0,0,0
7030,62,37,0,0,0,0
7030,0,27,0,0,M,0
7030,0,38,0,0,0,0
2232,55,0,0,0,0,0
2232,35,0,0,0,F,0
2232,41,0,0,0,0,0
5543,61,3,0,0,0,0
5543,77,34,0,0,0,0
5543,55,3,0,0,0,0
5508,64,0,0,0,0,0
5508,68,2,0,0,0,0
5508,76,11,0,0,0,0
2926,35,19,0,0,0,0
2926,67,35,0,0,0,0
2926,30,31,0,0,0,0
6785,91,30,0,0,0,0
6785,96,32,0,0,0,0
6785,0,16,0,0,M,0
2698,37,37,0,0,0,0
2698,82,5,0,0,0,0
2698,0,29,0,0,0,0
6124,81,36,0,0,0,0
6124,30,28,0,0,0,0
6124,62,18,0,0,0,0
3341,18,8,0,0,0,0
3341,48,13,0,0,0,0
3341,61,10,0,0,0,0
5253,0,1,0,0,0,0
5253,52,2,0,0,0,0
5253,72,28,0,0,0,0
5374,0,20,0,0,M,0
5374,90,7,0,0,0,0
5374,49,9,0,0,0,0
4618,80,0,0,0,F,0
4618,72,28,0,0,0,0
4618,40,0,0,0,0,0
2004,0,24,0,0,0,0
2004,69,29,0,0,0,0
2004,0,38,0,0,0,0
5553,66,3,0,0,0,0
5553,61,0,0,0,0,0
5553,60,0,0,0,0,0
3479,68,9,0,0,0,0
3479,62,37,0,0,0,0
3479,86,20,0,0,0,0
5938,81,36,0,0,0,0
5938,81,6,0,0,0,0
5938,29,35,0,0,0,0
1241,81,6,0,0,0,0
1241,29,15,0,0,0,0
1241,69,32,0,0,0,0
5407,0,26,0,0,M,0
5407,87,0,0,0,M,0
5407,0,2,0,0,M,0
4516,55,19,0,0,0,0
4516,82,5,0,0,0,0
4516,0,33,0,0,0,0
1671,79,0,0,0,F,0
1671,82,5,0,0,0,0
1671,0,29,0,0,0,0
4625,18,8,0,0,0,0
4625,33,30,0,0,0,0
4625,48,13,0,0,0,0
1194,44,0,0,0,0,0
1194,36,2,0,0,0,0
1194,64,0,0,0,0,0
4887,77,7,0,0,0,0
4887,71,0,0,0,0,0
4887,76,4,0,0,0,0
5079,33,32,0,0,0,0
5079,46,8,0,0,0,0
5079,58,9,0,0,0,0
6288,0,26,0,0,M,0
6288,87,0,0,0,M,0
6288,0,2,0,0,M,0
1215,27,4,0,0,0,0
1215,19,17,0,0,0,0
1215,86,19,0,0,0,0
2594,0,37,0,0,F,0
2594,28,11,0,0,0,0
2594,0,3,0,0,0,0
490,0,26,0,0,M,0
490,34,36,0,0,0,0
490,55,19,0,0,0,0
3651,51,0,0,0,0,0
3651,46,5,0,0,0,0
3651,40,5,0,0,0,0
1179,0,22,0,0,M,0
1179,0,16,0,0,M,0
1179,62,37,0,0,0,0
2718,33,30,0,0,0,0
2718,41,11,0,0,0,0
2718,0,38,0,0,F,0
6224,35,36,0,0,0,0
6224,96,32,0,0,0,0
6224,90,38,0,0,0,0
2582,59,30,0,0,0,0
2582,23,16,0,0,0,0
2582,68,18,0,0,0,0
3151,23,0,0,0,M,0
3151,71,11,0,0,0,0
3151,40,0,0,0,0,0
7048,77,7,0,0,0,0
7048,71,11,0,0,0,0
7048,65,0,0,0,M,0
4607,0,25,0,0,0,0
4607,0,16,0,0,M,0
4607,0,4,0,0,0,0
4595,0,5,0,0,M,0
4595,0,16,0,0,M,0
4595,0,4,0,0,0,0
1769,55,0,0,0,0,0
1769,65,0,0,0,F,0
1769,64,0,0,0,0,0
4094,26,36,0,0,0,0
4094,95,25,0,0,0,0
4094,78,9,0,0,0,0
6658,0,3,0,0,F,0
6658,45,0,0,0,0,0
6658,48,13,0,0,0,0
2125,81,36,0,0,0,0
2125,23,16,0,0,0,0
2125,88,0,0,0,F,0
5282,71,0,0,0,0,0
5282,27,1,0,0,0,0
5282,74,0,0,0,F,0
5226,19,0,0,0,0,0
5226,0,19,0,0,F,0
5226,0,3,0,0,0,0
6440,19,23,0,0,0,0
6440,32,8,0,0,0,0
6440,56,9,0,0,0,0
462,0,22,0,0,M,0
462,62,18,0,0,0,0
462,21,23,0,0,0,0
5038,61,34,0,0,0,0
5038,40,23,0,0,0,0
5038,59,33,0,0,0,0
6607,71,11,0,0,0,0
6607,62,18,0,0,0,0
6607,75,31,0,0,0,0
4679,48,13,0,0,0,0
4679,92,36,0,0,0,0
4679,85,2,0,0,0,0
7006,61,0,0,0,0,0
7006,27,1,0,0,0,0
7006,53,0,0,0,F,0
500,54,15,0,0,0,0
500,60,0,0,0,0,0
500,41,0,0,0,0,0
607,36,18,0,0,0,0
607,45,29,0,0,0,0
607,28,34,0,0,0,0
4899,27,0,0,0,0,0
4899,45,0,0,0,0,0
4899,56,0,0,0,0,0
1731,0,24,0,0,0,0
1731,69,29,0,0,0,0
1731,0,38,0,0,0,0
4460,71,11,0,0,0,0
4460,55,3,0,0,0,0
4460,42,0,0,0,0,0
3119,0,5,0,0,0,0
3119,76,1,0,0,0,0
3119,72,27,0,0,0,0
6659,96,28,0,0,0,0
6659,54,32,0,0,0,0
6659,80,14,0,0,0,0
2549,37,37,0,0,0,0
2549,82,5,0,0,0,0
2549,0,29,0,0,0,0
6869,30,9,0,0,0,0
6869,26,0,0,0,M,0
6869,80,14,0,0,0,0
46,57,38,0,0,0,0
46,59,25,0,0,0,0
46,72,26,0,0,0,0
3881,30,9,0,0,0,0
3881,92,36,0,0,0,0
3881,67,23,0,0,0,0
186,37,34,0,0,0,0
186,19,32,0,0,0,0
186,19,17,0,0,0,0
2415,55,0,0,0,0,0
2415,71,0,0,0,F,0
2415,37,0,0,0,0,0
396,55,0,0,0,0,0
396,34,2,0,0,0,0
396,37,0,0,0,0,0
6476,61,0,0,0,M,0
6476,75,0,0,0,0,0
6476,66,0,0,0,M,0
3912,30,9,0,0,0,0
3912,92,36,0,0,0,0
3912,0,11,0,0,F,0
3499,69,9,0,0,0,0
3499,0,14,0,0,F,0
3499,62,37,0,0,0,0
6568,55,0,0,0,0,0
6568,47,0,0,0,0,0
6568,51,0,0,0,0,0
5687,61,0,0,0,F,0
5687,71,11,0,0,0,0
5687,73,0,0,0,0,0
5445,67,35,0,0,0,0
5445,67,16,0,0,0,0
5445,23,17,0,0,0,0
5829,0,24,0,0,0,0
5829,19,17,0,0,0,0
5829,0,38,0,0,0,0
5472,81,0,0,0,0,0
5472,55,3,0,0,0,0
5472,58,4,0,0,0,0
505,37,11,0,0,0,0
505,81,0,0,0,M,0
505,91,15,0,0,0,0
2618,55,0,0,0,0,0
2618,35,0,0,0,F,0
2618,41,0,0,0,0,0
260,21,23,0,0,0,0
260,0,37,0,0,0,0
260,18,0,0,0,0,0
2052,19,0,0,0,0,0
2052,0,19,0,0,F,0
2052,0,3,0,0,0,0
4876,0,27,0,0,M,0
4876,29,15,0,0,0,0
4876,0,3,0,0,0,0
3231,72,0,0,0,M,0
3231,55,3,0,0,0,0
3231,36,2,0,0,0,0
3562,0,10,0,0,0,0
3562,81,36,0,0,0,0
3562,91,30,0,0,0,0
4031,55,19,0,0,0,0
4031,28,10,0,0,0,0
4031,0,3,0,0,0,0
3569,78,0,0,0,F,0
3569,0,10,0,0,F,0
3569,0,18,0,0,0,0
331,54,0,0,0,0,0
331,63,0,0,0,M,0
331,27,1,0,0,0,0
3902,72,0,0,0,F,0
3902,77,7,0,0,0,0
3902,0,0,0,0,0,0
6824,0,24,0,0,F,0
6824,46,18,0,0,0,0
6824,44,21,0,0,0,0
5873,19,23,0,0,0,0
5873,32,8,0,0,0,0
5873,56,9,0,0,0,0
232,19,0,0,0,0,0
232,39,22,0,0,0,0
232,0,3,0,0,0,0
6143,72,28,0,0,0,0
6143,71,0,0,0,0,0
6143,75,2,0,0,0,0
3089,48,13,0,0,0,0
3089,29,35,0,0,0,0
3089,46,18,0,0,0,0
3307,19,23,0,0,0,0
3307,32,8,0,0,0,0
3307,56,9,0,0,0,0
723,33,30,0,0,0,0
723,59,25,0,0,0,0
723,86,38,0,0,0,0
5993,40,0,0,0,0,0
5993,34,0,0,0,M,0
5993,57,0,0,0,M,0
6881,55,0,0,0,0,0
6881,67,18,0,0,0,0
6881,53,0,0,0,0,0
1805,34,36,0,0,0,0
1805,90,38,0,0,0,0
1805,0,3,0,0,0,0
1631,79,0,0,0,F,0
1631,28,11,0,0,0,0
1631,0,29,0,0,0,0
2050,33,32,0,0,0,0
2050,0,35,0,0,0,0
2050,31,0,0,0,0,0
6180,59,0,0,0,M,0
6180,74,33,0,0,0,0
6180,53,0,0,0,0,0
6280,18,8,0,0,0,0
6280,48,13,0,0,0,0
6280,61,10,0,0,0,0
177,0,24,0,0,0,0
177,19,17,0,0,0,0
177,0,38,0,0,0,0
2243,34,36,0,0,0,0
2243,90,38,0,0,0,0
2243,0,3,0,0,0,0
1394,56,0,0,0,F,0
1394,71,34,0,0,0,0
1394,45,0,0,0,0,0
4488,60,0,0,0,0,0
4488,59,25,0,0,0,0
4488,56,2,0,0,0,0
1669,23,37,0,0,0,0
1669,96,28,0,0,0,0
1669,0,8,0,0,F,0
1526,54,32,0,0,0,0
1526,34,36,0,0,0,0
1526,64,19,0,0,0,0
5839,47,0,0,0,0,0
5839,68,0,0,0,M,0
5839,57,0,0,0,M,0
4781,67,25,0,0,0,0
4781,48,13,0,0,0,0
4781,62,18,0,0,0,0
530,55,0,0,0,0,0
530,43,0,0,0,M,0
530,37,0,0,0,0,0
1941,0,19,0,0,F,0
1941,37,34,0,0,0,0
1941,0,4,0,0,0,0
2905,54,15,0,0,0,0
2905,35,19,0,0,0,0
2905,28,34,0,0,0,0
3703,0,0,0,0,0,0
3703,74,33,0,0,0,0
3703,36,2,0,0,0,0
2723,80,14,0,0,0,0
2723,55,6,0,0,0,0
2723,62,37,0,0,0,0
2371,19,0,0,0,0,0
2371,0,19,0,0,F,0
2371,0,3,0,0,0,0
2998,40,23,0,0,0,0
2998,58,9,0,0,0,0
2998,21,5,0,0,0,0
3309,77,0,0,0,M,0
3309,71,0,0,0,0,0
3309,75,2,0,0,0,0
4923,54,15,0,0,0,0
4923,19,17,0,0,0,0
4923,0,3,0,0,0,0
6001,81,0,0,0,0,0
6001,73,0,0,0,0,0
6001,58,4,0,0,0,0
6188,66,3,0,0,0,0
6188,61,0,0,0,0,0
6188,60,0,0,0,0,0
1543,36,0,0,0,0,0
1543,45,0,0,0,M,0
1543,76,4,0,0,0,0
2191,0,24,0,0,0,0
2191,69,29,0,0,0,0
2191,0,38,0,0,0,0
7053,82,32,0,0,0,0
7053,20,10,0,0,0,0
7053,23,17,0,0,0,0
6021,71,11,0,0,0,0
6021,55,3,0,0,0,0
6021,42,0,0,0,0,0
803,36,2,0,0,0,0
803,72,27,0,0,0,0
803,53,3,0,0,0,0
4708,70,0,0,0,0,0
4708,71,34,0,0,0,0
4708,76,4,0,0,0,0
4585,0,26,0,0,M,0
4585,87,0,0,0,M,0
4585,59,33,0,0,0,0
2056,55,0,0,0,0,0
2056,35,0,0,0,F,0
2056,41,0,0,0,0,0
5011,33,30,0,0,0,0
5011,29,35,0,0,0,0
5011,46,18,0,0,0,0
6842,19,0,0,0,0,0
6842,55,19,0,0,0,0
6842,0,3,0,0,0,0
4922,54,15,0,0,0,0
4922,19,17,0,0,0,0
4922,0,3,0,0,0,0
3038,36,0,0,0,0,0
3038,45,0,0,0,M,0
3038,76,4,0,0,0,0
933,45,31,0,0,0,0
933,34,36,0,0,0,0
933,96,0,0,0,0,0
4390,44,0,0,0,M,0
4390,27,1,0,0,0,0
4390,79,27,0,0,0,0
3186,87,23,0,0,0,0
3186,0,33,0,0,0,0
3186,81,0,0,0,0,0
5794,59,0,0,0,M,0
5794,63,0,0,0,M,0
5794,61,0,0,0,0,0
1486,0,37,0,0,F,0
1486,39,21,0,0,0,0
1486,39,19,0,0,0,0
4378,36,22,0,0,0,0
4378,39,21,0,0,0,0
4378,61,10,0,0,0,0
2048,0,24,0,0,0,0
2048,69,29,0,0,0,0
2048,0,38,0,0,0,0
78,0,24,0,0,0,0
78,0,16,0,0,M,0
78,0,38,0,0,0,0
7092,92,0,0,0,M,0
7092,96,11,0,0,0,0
7092,30,0,0,0,M,0
1581,81,36,0,0,0,0
1581,23,16,0,0,0,0
1581,88,0,0,0,F,0
4047,68,9,0,0,0,0
4047,62,37,0,0,0,0
4047,86,20,0,0,0,0
6435,48,13,0,0,0,0
6435,85,2,0,0,0,0
6435,46,18,0,0,0,0
4199,54,0,0,0,0,0
4199,63,0,0,0,M,0
4199,27,1,0,0,0,0
4397,61,29,0,0,0,0
4397,69,29,0,0,0,0
4397,26,6,0,0,0,0
1809,34,36,0,0,0,0
1809,90,38,0,0,0,0
1809,0,3,0,0,0,0
1904,54,32,0,0,0,0
1904,34,36,0,0,0,0
1904,64,19,0,0,0,0
1930,39,21,0,0,0,0
1930,27,4,0,0,0,0
1930,31,16,0,0,0,0
6983,59,0,0,0,0,0
6983,27,1,0,0,0,0
6983,75,2,0,0,0,0
2177,19,0,0,0,0,0
2177,0,19,0,0,F,0
2177,0,3,0,0,0,0
5936,72,28,0,0,0,0
5936,71,0,0,0,0,0
5936,42,0,0,0,0,0
3050,46,8,0,0,0,0
3050,95,25,0,0,0,0
3050,49,9,0,0,0,0
7073,77,7,0,0,0,0
7073,71,11,0,0,0,0
7073,65,0,0,0,M,0
1164,34,0,0,0,0,0
1164,61,10,0,0,0,0
1164,73,0,0,0,0,0
6356,81,0,0,0,0,0
6356,75,0,0,0,0,0
6356,55,3,0,0,0,0
5947,72,28,0,0,0,0
5947,71,0,0,0,0,0
5947,42,0,0,0,0,0
4627,45,0,0,0,0,0
4627,27,1,0,0,0,0
4627,90,0,0,0,0,0
4832,48,13,0,0,0,0
4832,29,35,0,0,0,0
4832,46,18,0,0,0,0
2999,80,0,0,0,F,0
2999,72,28,0,0,0,0
2999,40,0,0,0,0,0
2064,81,36,0,0,0,0
2064,23,16,0,0,0,0
2064,88,0,0,0,F,0
1115,69,32,0,0,0,0
1115,90,7,0,0,0,0
1115,78,9,0,0,0,0
3084,77,0,0,0,0,0
3084,75,0,0,0,0,0
3084,75,34,0,0,0,0
5299,81,0,0,0,0,0
5299,79,27,0,0,0,0
5299,75,12,0,0,0,0
1498,75,0,0,0,0,0
1498,75,31,0,0,0,0
1498,39,4,0,0,0,0
