session_id,treatment,participant_gender,participant_age,participant_degree,participant_ethnicity,participant_politics,ml_fam,cj_fam,confidence,relative_confidence,self_reported_influence,self_reported_exp_usefulness,self_reported_ra_accuracy,self_reported_ra_fairness,self_reported_exp_ability,accountability,open_response_1,open_response_2,influence,participant_brier_score,false_positive_participant,ra_brier_score,false_positive_ra_black,false_positive_ra_white,false_positive_ra_diff,session_submit_time
3DIP6YHAPCSFW6PTC2KP5ND1G79E8I,1,Male,2,8,Caucasian,Democrat,2,3,4,3,4,3,4,4,3,3,,,0.7,0.799,4,0.774666667,2,2,0,58:10.1
3X3OR7WPZZ0T2CZLTO7TII3LQY18LF,5,Male,2,8,Caucasian,Democrat,3,3,4,4,5,4,5,4,4,3,I used it as a guide and expanded upon it a little bit.,I used the specific numbers of their prior crimes and charges as a juvenile to help guide me away from the algorithm.,0.566666667,0.773333333,1,0.802,2,0,2,55:27.1
3137ONMDKG5UPLVBV0WDX0UZ4C1GEN,0,Female,4,7,Caucasian,Democrat,2,2,3,3,0,0,0,0,0,0,"I tried to determine an overall pattern in the  behavior and activities of the suspects, I felt like a higher incidence of past crimes, particularly violent ones signaled an advanced likelihood to seek out more trouble in the future. ",,,0.777666667,3,0.847,,,,14:20.0
3BV8HQ2ZZW1P2FPT3IL5PQRJQM8A6Z,3,Female,2,5,Latino/hispanic,Independent,1,2,2,3,1,2,2,2,5,3,"I felt the reasons for the ""would be"" risk scores were completely incorrect  and this made me not let the algorithms decisions influence mine.",I noticed some decisions the algorithm made were similar to mine but I did not let this influence my perception of the algorithm ,0.7,0.730333333,6,0.769666667,5,0,5,24:16.3
30X31N5D63QUPDNQAVO8QVNB7MJASK,1,Female,2,4,Two or more,Democrat,2,3,3,3,4,3,2,3,3,3,,,0.666666667,0.769333333,5,0.778333333,3,2,1,07:06.4
3L70J4KAZGMONO48D5TJVW1B7AZADZ,5,Male,2,4,Caucasian,Something else,2,2,3,3,3,2,3,3,4,4,I tried to avoid looking at the algorithm's score until after I already had a score in my head and then I would use that algorithm score to verify my answer.  So I used it more as a guide to verify my decisions more than anything.,"I didn't use them too much after seeing them the first few times just because I became aware of what to look for. age, the type of crime, and how many priors.  After a few tries it was pretty simple to create a baseline on how age and priors etc. would play into the score. ",0.7,0.815333333,2,0.79,2,1,1,45:43.5
337RC3OW052RDOVY1HI3AWNT1T1VL0,5,Male,4,8,Caucasian,Democrat,3,3,4,4,3,2,4,4,4,3,"I read the initial description of the crime and decided what I thought the number should be, then looked to see what the computer said and adjusted my number if I thought the computer was right.",I mostly went off my own judgement.,0.866666667,0.865333333,0,0.880666667,0,0,0,25:04.7
3H8DHMCCW9BUZ1DUPW68PA47B3NDK8,2,Male,2,5,African-American,Democrat,3,4,4,4,3,3,3,4,3,3,,,0.766666667,0.78,5,0.785,4,1,3,17:25.2
3U088ZLJVKTRVH6H2Y1GYEEJ53J0WV,4,Female,4,8,African-American,Democrat,1,3,4,3,3,3,3,3,4,3,"I looked at the predicted score and reasonings, but based my decisions more on the defendant's age and priors.","I looked at the predicted score and reasonings, but based my decisions more on the defendant's age and priors.",0.733333333,0.817,0,0.848,0,0,0,59:18.7
3STRJBFXOWR1GQ9RBM6NUEMTF3TKT9,3,Male,4,9,Caucasian,Republican,5,4,4,5,3,4,3,4,4,4,,,0.766666667,0.728,3,0.783,1,3,-2,38:52.7
3HPZF4IVNMTFEEWXTFCOEC10PWNCYY,3,Female,1,8,Caucasian,Independent,2,3,3,2,4,2,3,3,2,3,,,0.7,0.837333333,0,0.837,0,1,-1,13:38.2
3K4J6M3CXETRZ8EZFVUR1H48JKRGAQ,2,Male,4,8,Caucasian,Independent,2,3,3,4,4,4,3,3,4,4,I would look at the age and previous crimes and either go a bit over or under from the algorythm suggestion,,0.7,0.832666667,2,0.831,1,1,0,11:06.9
34HJIJKLP5WVFGODVPJMOFLIFYE4V6,3,Female,5,8,Caucasian,Democrat,4,4,5,4,3,5,5,4,5,4,I considered the algorithm's score when I make my decisions.,My decisions are mainly based on those explanations.,0.7,0.817666667,1,0.834333333,1,1,0,59:07.5
3G5F9DBFOPXPRSC8AW35I4UMJU9HVV,2,Female,3,8,Caucasian,Democrat,4,4,5,5,3,3,3,3,5,4,I made a judgement on of my score before looking at the algorithms and then compared the two to come to my final decision.,I did not because I did not think that they were very relevant.  They told me how the algorithm could have decided differently but not why it decided the way it did.,0.833333333,0.714333333,1,0.798333333,0,1,-1,35:52.8
3LOTDFNYA7ZISLL75GK11L1NA16FW3,0,Male,2,8,Caucasian,Democrat,3,3,4,4,0,0,0,0,0,0,"The severity of the crime, and how many prior crimes they were convicted of.",,,0.715333333,1,0.799,,,,01:47.7
3DQQ64TANGLUJYA1JJG6DFFRD34WPR,3,Male,2,8,Caucasian,Democrat,3,1,3,2,2,3,2,3,2,3,,,0.566666667,0.715333333,11,0.782333333,1,0,1,28:02.0
33NF62TLXJ272NDMZSSJS8ZKH5FJKO,4,Female,3,8,Caucasian,Republican,2,4,4,4,3,3,3,4,5,1,At first I tried not to look at the algorithm's scores because I didn't want it to distract or influence my initial thoughts after reading about the individual however it is right there so it is unavoidable. I used the information as a back up confirmation kind of thing.,"I did not really incorporate the explinations, however I did wonder if that is what the algorithm's basis for scoring is, if the high and low risk variables even out, would they give a score of 5?",0.7,0.811333333,1,0.830666667,2,0,2,43:40.2
39U1BHVTDLRVKS1KQGEODS5R4NK3T6,5,Male,2,8,African-American,Democrat,2,3,2,2,2,3,4,2,2,3,,,0.733333333,0.687,14,0.728666667,4,1,3,59:47.3
32Q90QCQ1SLZR7RULRHSVSMSCZLKEA,5,Female,5,9,Caucasian,Independent,3,3,2,3,3,3,3,3,3,1,Would I think the algorithm's score was off and should I adjust.,not much,0.666666667,0.798666667,3,0.800333333,1,2,-1,35:31.2
3TXD01ZLD4HV21ZDQZ9HSTJZ0WG4U1,0,Male,4,8,Caucasian,Republican,3,3,3,3,0,0,0,0,0,0,Past convictions,,,0.804,2,0.821,,,,31:20.3
37QW5D2ZRGMG6PUBDX4UU4HGIP8S86,5,Male,5,8,Caucasian,Republican,3,3,3,3,3,2,3,4,3,2,,,0.8,0.76,7,0.763333333,3,3,0,28:22.6
36AHBNMV1RCPJ62BTB7ZYIJIA4QYDR,4,Male,3,8,Caucasian,Republican,3,4,4,3,3,3,2,4,3,3,,,0.8,0.679,7,0.789666667,2,0,2,14:23.2
3FTOP5WARFO5PX6IVZI19OKB2HTJ0L,1,Male,2,8,Caucasian,Democrat,4,3,4,3,3,3,4,3,4,3,I just read all information and pay full attention to them. next I judge crime based on my knowledge.,,0.766666667,0.799,3,0.791333333,3,1,2,10:21.0
3ITXP059PWJ5Q6QU411LJUQUXBJJSJ,2,Male,2,9,Caucasian,Democrat,5,4,5,4,5,4,5,4,4,4,,,0.666666667,0.696,11,0.822333333,2,2,0,10:24.9
3FIJLY1B6U4S8CO6TU669RTRI9FFPV,5,Female,6,9,Caucasian,Republican,3,2,3,3,2,3,3,3,4,3,"Prior offenses was instrumental in my decision, as well as age.  Race played  no part in my judgment.","I just weighed age, prior convictions, and severity of offense in arriving at a decision.",0.766666667,0.797333333,1,0.811666667,2,1,1,38:31.1
374TNBHA8BVJ8F6GYXDJYHQHTKJQYU,4,Male,3,8,Caucasian,Democrat,5,5,5,5,3,5,4,4,3,3,,,0.8,0.802333333,4,0.802333333,3,1,2,29:48.0
3PEIJLRY6TTZS7CS5AQN7S1UEKNXWP,1,Female,2,8,Caucasian,Democrat,3,3,3,3,2,3,3,4,3,3,I took the algorithm into account but thought it was off on some cases. ,,0.733333333,0.781333333,7,0.816333333,3,2,1,59:38.2
320DUZ38G7M201H39174UG7RAPJGJ5,5,Male,2,9,Asian,Independent,2,2,2,4,4,3,3,2,3,2,,,0.833333333,0.748666667,3,0.786666667,2,3,-1,27:32.9
3VA45EW49NNJXXIX7VE6VPK77VM1ON,5,Male,4,8,Caucasian,Independent,3,3,3,3,4,3,4,4,4,3,,,0.666666667,0.751,1,0.778,1,0,1,25:27.4
3K4J6M3CXETRZ8EZFVUR1H48JX3GAS,0,Male,4,11,Asian,Republican,2,2,3,3,0,0,0,0,0,0,,,,0.677333333,2,0.747,,,,44:25.1
33L7PJKHCGYHLP7Q2X9K49D2K7CT8K,4,Female,4,5,Caucasian,Democrat,2,2,3,3,4,1,3,3,2,3,I definitely took the algorithm's score into consideration when I was deciding my score. I often felt that the algorithm was too lenient.,I didn't rely on this,0.766666667,0.806333333,5,0.822333333,3,0,3,48:32.6
3RUIQRXJBBOOHJJ4NDGXNNPRAQ0LLY,3,Female,4,4,Two or more,Independent,4,3,3,3,2,3,4,3,2,2,I compared higher risk numbers with more serious offenses.,"I analyzed the higher risk assessments next to previous felonies,",0.766666667,0.745666667,2,0.805666667,3,0,3,11:13.5
3MAOD8E57QA95D3ED9Z0B9O3M0ZXNZ,5,Male,2,3,Caucasian,Democrat,4,3,4,3,4,5,4,4,3,3,,,0.766666667,0.824,0,0.847,0,0,0,27:40.2
3GU1KF0O4I12VVCQOSKAQ1263ACBPW,4,Female,6,8,Caucasian,Democrat,2,2,4,3,4,4,3,4,3,3,,,0.733333333,0.794666667,1,0.808,1,1,0,50:30.2
38YMOXR4MUZM9SSW4NHX7FOAHGO6W4,1,Female,1,8,African-American,Republican,2,4,4,5,4,4,5,4,5,4,no,,0.766666667,0.767666667,5,0.792666667,3,2,1,11:51.1
3JW0YLFXRTGK3772V5U159NN5LEWWY,2,Female,3,9,Caucasian,Democrat,3,3,3,4,3,2,4,4,3,3,,,0.666666667,0.758333333,5,0.844666667,4,0,4,11:15.0
3WLEIWSYHOHGU1E6MMJUGZXBM9PH2M,0,Female,2,8,African-American,Democrat,3,3,4,4,0,0,0,0,0,0,"Age of the defendant , race , and previous convicted crime",,,0.718333333,5,0.833333333,,,,33:20.8
37WLF8U1WPQVESYFF9YUJ4UFVY6K6S,3,Male,3,8,Native American,Democrat,3,3,4,3,2,3,4,2,4,4,,,0.733333333,0.746,5,0.766666667,6,0,6,15:01.0
3KRVW3HTZNLVREWF7YEDZMIB2SISMB,4,Male,1,10,Native American,Republican,4,2,4,5,4,3,4,3,2,3,,,0.766666667,0.700333333,12,0.755,2,2,0,45:07.8
3I7DHKZYGN0OF26N9FXSBLOAR7PF5G,4,Female,3,8,Native American,Democrat,4,5,4,4,5,4,4,3,5,4,,,0.766666667,0.724666667,9,0.752666667,4,1,3,42:17.1
3SNVL38CI4SKU97GP0BX54MPRMHCKG,5,Female,4,8,African-American,Democrat,4,4,4,4,4,5,4,5,5,3,I considered the a logarithms risk score since they are not far fetched since some risks were low and others high ,high risk of committing a crime deserves a rating of 7-10,0.766666667,0.787333333,3,0.821666667,2,0,2,51:14.3
3JJVG1YBEBXY2LU74DBWSVXPB6A5BU,0,Male,2,7,Caucasian,Independent,2,2,3,3,0,0,0,0,0,0,,,,0.764666667,1,0.814,,,,59:29.5
3K772S5NP8B8PHQMF6EVI060KHQHEA,5,Male,5,8,Asian,Independent,3,3,3,3,3,3,2,2,3,3,Algorithm risk score seemed to be a bit higher than what I would choose. Agreed with algorithm in maybe only 20% of the cases. What was a big factor is that the risk was to be judged according to the likelihood person would commit another crime before their trial. That's not asking for too much to expect the person to not commit a crime while waiting for their trial.,"Age, number of crimes, seriousness of crimes, juvenile record, sex, all mattered. Race did not matter.",0.866666667,0.749666667,1,0.759,2,2,0,37:50.3
3X3OR7WPZZ0T2CZLTO7TII3LPQPL8Z,0,Male,2,8,Caucasian,Democrat,2,3,4,3,0,0,0,0,0,0,,,,0.633333333,12,0.819,,,,03:59.6
31UV0MXWNQC8PT8DAN3DEI127W3I5Q,3,Female,4,7,Caucasian,Republican,2,2,4,3,4,4,4,3,2,4,I mostly went by the suggestions but the biggest was the age of the person and the number of crimes committed.,,0.666666667,0.593333333,7,0.783333333,4,0,4,49:44.8
3GGAI1SQEVYFKX7JACODKHETGPBMCQ,3,Male,5,10,Caucasian,Democrat,4,3,3,4,3,3,3,3,5,3,I recieved  the score. I saw the explanation of factors that the algorithm  indicated  would make a difference.  ,,0.6,0.767333333,3,0.812333333,2,1,1,06:17.1
3YDTZAI2WXGFT48FOBZXHRE2P4X14N,0,Female,4,8,African-American,Republican,3,3,5,3,0,0,0,0,0,0,,,,0.759666667,10,0.811,,,,00:21.2
3TPWUS5F891BP91XEEU0TFGKES9CWT,4,Female,5,8,Caucasian,Republican,2,3,3,3,1,4,4,4,4,3,,,0.8,0.825666667,1,0.837,1,0,1,49:13.2
3SITXWYCNV9744EHAJURKEO95EOBXX,4,Male,4,8,Caucasian,Democrat,3,3,5,5,4,4,4,3,2,2,,,0.666666667,0.777333333,0,0.813,4,2,2,55:26.9
3HWRJOOET52XFQ42Q0QUMED2TN6SEV,3,Female,3,4,African-American,Independent,4,2,4,3,3,3,3,3,2,2,,,0.766666667,0.672666667,12,0.814,3,1,2,47:22.1
37KGEN7NJ3Q4ZPD07X2BLL7VJAQPPL,0,Female,3,8,Caucasian,Democrat,2,2,4,5,0,0,0,0,0,0,,,,0.748333333,3,0.842,,,,52:41.8
3XC1O3LBOSMC0WR9WMIO9EZ849BLT2,5,Female,5,7,Caucasian,Democrat,3,3,3,3,4,3,4,1,3,3,,,0.733333333,0.791666667,3,0.763333333,3,2,1,06:02.2
3H8DHMCCW9BUZ1DUPW68PA47CKMKDD,3,Male,5,5,Caucasian,Republican,2,3,3,3,3,1,3,4,4,3,"I just looked at it to see if it was reasonable, and to give me something of a baseline. I then made my guess using my own judgement, which sometimes agreed.","They seemed really off base and irrelevant, so I tended to disregard them. ",0.766666667,0.666333333,3,0.727333333,3,0,3,39:48.0
36W0OB37HWE60CHIBTS83A7I7ZSHZW,2,Female,3,8,Caucasian,Democrat,5,5,4,4,4,4,4,4,5,4,,,0.9,0.679333333,8,0.774,4,0,4,30:15.8
3NJM2BJS4W6L504W2SG51L8OKFGPCO,2,Female,2,8,Caucasian,Democrat,3,3,3,3,3,3,3,3,3,3,,,0.666666667,0.735,11,0.807333333,2,0,2,26:27.3
37FMASSAYCRAE9PMBXUQH41UHWBBIE,4,Female,5,5,Caucasian,Republican,1,4,3,4,2,1,2,3,5,3,"I looked at the algorithm number, after I had thought about what I would give as a rating.  Some were close to what I choose and others were a little different.  However, I believe in trusting your gut and looking at their prior convictions and pretty much stuck to my gut opinion.  Hopefully, I did well in figuring it out this way, which is usually how I judge things.","I didn’t really incorporate them into my decision making.  Again, I kind of went with my gut feelings.",0.766666667,0.716,4,0.746,2,3,-1,49:35.7
3G5W44VEU7IXBLNLRM7GVV74PE9GKU,5,Female,2,7,Asian,Democrat,1,2,3,3,3,3,3,3,2,4,,,0.666666667,0.741,9,0.792,6,1,5,00:46.1
3LRKMWOKB5H2LME0S8P1G61GJ372Z7,4,Female,3,11,Caucasian,Democrat,1,3,3,3,3,2,3,3,3,1,,,0.766666667,0.819666667,1,0.803333333,0,2,-2,31:03.7
37UEWGM5HT8MUAADZNVAPKPCIHKR1Y,5,Female,5,9,African-American,Independent,2,3,3,3,3,4,3,3,4,3,,,0.733333333,0.8,3,0.807,4,0,4,52:14.8
33FBRBDW6OZ0Z85FGBEUFZDYWNA8CI,5,Female,5,9,Caucasian,Democrat,3,3,3,3,3,4,3,3,4,1,"I would make my own assessment and then compare it with the algorithm. If it was close, I would choose the risk score of the algorithm. If not, I would go with my risk score.","Often the explanations shed light on what the most important factor was (age, etc.) and I would consider that when making my decision.",0.633333333,0.771666667,3,0.803333333,3,2,1,18:01.5
3RSDURM96AMUBCGBP6IJ4013AESYEH,5,Male,3,9,Caucasian,Democrat,4,3,3,4,4,2,3,4,3,2,I looked at the number and compared it to the description of the situation and made my estimation.  Usually the algorithm looked reasonable. ,I really did not use the explanantion that much.  It did not help.  ,0.633333333,0.771,4,0.793,1,1,0,12:54.2
3H7Z272LX77E84Y2F59444YBE0PLPJ,0,Female,5,10,Caucasian,Democrat,1,2,3,3,0,0,0,0,0,0,Previous convictions.,,,0.780666667,1,0.802666667,,,,17:09.8
36AHBNMV1RCPJ62BTB7ZYIJIA11YDW,5,Male,4,8,Caucasian,Republican,3,3,3,4,3,2,2,3,3,1,,,0.7,0.808333333,0,0.794333333,3,0,3,25:34.0
3O7L7BFSHEP8LC16LOWGIC7FJPTIEH,0,Male,2,9,Latino/hispanic,Democrat,5,4,5,4,0,0,0,0,0,0,,,,0.751666667,8,0.783,,,,52:54.4
354P56DE9K3C6BPS3SCOG4LL6ECS7A,1,Female,2,5,Caucasian,Independent,2,2,2,3,3,2,3,3,3,4,"Unless I really disagreed with it, I would let it have the final say.",,0.666666667,0.757,4,0.769,4,0,4,56:10.9
3Q5ZZ9ZEVOFF0NW011RM1T7O44W85E,4,Male,2,8,Asian,Independent,2,2,3,3,3,2,3,2,4,2,,,0.9,0.796,4,0.780666667,5,0,5,24:40.4
34J10VATJFYXIFRBUFRGCTWT2SHIQT,0,Male,2,8,Caucasian,Democrat,4,4,2,3,0,0,0,0,0,0,,,,0.754333333,6,0.755666667,,,,53:48.1
3TMSXRD2X60R26RZYH5GCJXT9RP1WQ,0,Male,3,8,Caucasian,Don't know,1,1,2,3,0,0,0,0,0,0,,,,0.780333333,1,0.814,,,,05:00.3
3TESA3PJ31ASTJJAN1IRNDJ5A84MM7,4,Female,2,7,Caucasian,Democrat,3,3,3,3,3,3,3,3,3,3,,,0.733333333,0.75,0,0.826,1,1,0,02:34.2
384PI804XS1YO0P8ITRF1PBYZPI0S9,4,Female,4,9,African-American,Republican,2,3,3,3,3,2,3,3,4,4,I compared it to my own judgement to see if mine were reasonable,,0.633333333,0.774666667,1,0.779666667,4,0,4,55:13.2
3LQ8PUHQFLSK5MS8BP4M3F4SB6XIHB,0,Male,2,7,Asian,Democrat,3,1,2,3,0,0,0,0,0,0,,,,0.764333333,1,0.796333333,,,,55:09.1
3S06PH7KSR4ST0R8HM0QKV883BSD13,3,Male,2,8,Caucasian,Independent,2,3,2,3,2,2,3,3,5,1,,,0.766666667,0.795666667,1,0.829,1,1,0,57:11.9
34BBWHLWHAB22CNX6OQM4IEFQUCIWD,0,Female,2,8,Caucasian,Independent,2,2,3,3,0,0,0,0,0,0,"What sort of conviction history the person had. If there were 10+ prior convictions, I thought they had a much higher chance of re-offending.",,,0.546,0,0.842,,,,34:27.5
32ZKVD547FNVO673QUN3DYZ5XWP3BG,2,Male,3,8,Native American,Independent,3,3,3,3,3,3,3,3,3,3,useful,more news gathering in a decisions.,0.666666667,0.71,8,0.756333333,5,1,4,30:39.2
3LOTDFNYA7ZISLL75GK11L1NB6NFWV,5,Female,3,4,Caucasian,Independent,4,4,4,3,5,5,4,5,3,3,,,0.733333333,0.836666667,3,0.844,3,1,2,41:00.3
3NPFYT4IZC43VLMSQ5M5LPF6KWXGX9,1,Female,5,5,Caucasian,Democrat,1,1,3,3,2,3,4,4,3,3,"I checked the algorithms risk score and then thought about the age, previous convictions and severity of the crime and tried to think whether I agreed with the evaluation or not.",,0.766666667,0.770666667,7,0.744333333,5,3,2,59:43.3
32N49TQG3GIAH54U4QTD1I7I6QCVA9,1,Male,2,8,African-American,Democrat,5,3,3,4,4,5,3,4,4,3,I considered their ages mostly because the lesser the age the more one can commit another crime. ,,0.766666667,0.701333333,8,0.758,4,2,2,37:05.7
3TU5ZICBRD14T9FYLTFPZ42F01O8QY,5,Female,2,8,Caucasian,Independent,3,3,3,3,3,3,4,3,4,4,I made my judgement first and then looked at the algorithm’s number to see if they were similar. If they were very different sometimes I adjusted my original assessment but most of the time I kept my assessment number the same. ,The biggest factor to me was prior convictions. If they had numerous prior convictions that tells me they are a repeat offender and more likely to commit another crime. ,0.733333333,0.726333333,2,0.766333333,1,0,1,28:52.2
3R0T90IZ1SCFSNBXZ9QI7CUWJE9CG3,1,Male,3,8,Caucasian,Democrat,1,4,3,5,3,5,3,3,3,1,,,0.766666667,0.764333333,4,0.792666667,1,0,1,37:47.8
3Z2R0DQ0JHE4ARN4WLBOVW0YVXYE2D,4,Female,1,7,African-American,Democrat,3,3,4,4,5,2,2,2,3,4,"I used the details provided to see how serious of a crime it was, then I used the algorithm's risk scores as a baseline (going lower, higher, or the same).",,0.633333333,0.775333333,5,0.771,5,1,4,00:53.0
3LQ8PUHQFLSK5MS8BP4M3F4SB5LIHX,0,Male,3,8,Caucasian,Independent,3,3,4,4,0,0,0,0,0,0,I factored in prior crimes along with age to determine repeat possibility.,,,0.810666667,2,0.846333333,,,,13:50.3
3JPSL1DZ5SZX90VL2Z7MR1D5LCGANS,4,Female,3,8,Caucasian,Democrat,3,3,3,3,4,3,3,4,4,2,,,0.8,0.772333333,6,0.76,3,1,2,38:06.3
31IBVUNM9SZ5DWL2F6F5FJI94W6FV4,4,Female,2,9,Caucasian,Democrat,3,3,3,3,2,3,4,3,2,3,"I tried to think objectively like the algorithm, but it was difficult.","I liked being able to see why something was high risk/versus lower risk. On a few instances, age was mentioned and I kept forgetting to take into account age so that affected my score.",0.733333333,0.742,4,0.775666667,2,1,1,50:56.9
317HQ483I7SCFIEJENZZ8Z1OYKHNI5,4,Male,3,8,Caucasian,Republican,2,2,4,4,4,5,3,3,3,4,,,0.7,0.748666667,4,0.777333333,1,1,0,34:02.0
3J88R45B2GY98YFRTOCSFYTYM9APXL,3,Male,3,10,Caucasian,Democrat,2,3,3,3,2,1,3,3,4,3,"I think the algorithm tended to overestimate a bit, so I used that as a baseline for all comparisons. ",,0.8,0.773666667,2,0.799333333,2,1,1,48:28.9
3OLQQLKKNSP4GNLC36HGUDMFXALJEA,5,Female,4,5,African-American,Democrat,3,3,3,3,3,4,3,3,3,4,I COMPARED THE ALGORITHM WITH MY OWN REASOING AND MAKE A CHOICE.,I considered the factors the algorithm pointed out.,0.733333333,0.814,2,0.805333333,4,0,4,40:33.7
36W0OB37HWE60CHIBTS83A7I8MHZHE,4,Female,3,8,Caucasian,Democrat,2,2,3,4,4,4,4,4,3,3,,,0.866666667,0.789333333,3,0.811666667,2,1,1,07:42.2
3EQHHY4HQSSUT22IKZ3AT6OMSMA5GQ,3,Male,6,9,Caucasian,Independent,2,2,3,3,2,4,3,3,3,2,My assessments were based mostly on the person's prior history with little influence from the algorithm results.,I kind of ignored these explanations.,0.666666667,0.816666667,1,0.802333333,2,0,2,19:19.0
3SEPORI8WNZRQP945NIGMOKEVV9AZ4,5,Female,3,6,Caucasian,Independent,2,2,4,4,5,4,4,4,3,3,I really took into consideration their reasons and thought about them more in depth after making what I thought was my first initial decision,Sometimes instead of making a snap judgement I looked at their reasons to make sure I was making a good decision,0.633333333,0.699333333,7,0.724333333,4,1,3,02:27.4
3Q8GYXHFEP2HCQMDID7R3F37T5VC5L,1,Male,2,8,African-American,Democrat,3,3,4,5,2,5,3,3,4,4,,,0.866666667,0.755,5,0.777,2,2,0,03:33.1
378XPAWRUCD5VZKU5JUUMTHOZI7IAF,5,Male,4,8,Caucasian,Independent,1,2,4,4,3,4,3,3,3,2,I trust the algorithm was built by very smart people and therefore I put a lot of credibility into the answers it provided. There was not a lot of other information to be able to make this sort of decision so you gave me using the guidance of the algorithm was a big help. ,I consider the information being provided from all sources since there was not much to go on. ,0.7,0.804,4,0.813,5,0,5,10:45.3
3MYYFCXHJ37CXJYI6UK0OEI8RAO4GW,2,Female,3,4,Caucasian,Republican,3,3,4,3,3,4,3,3,3,3,,,0.766666667,0.713,1,0.797,2,0,2,20:45.3
3JBT3HLQF82YDTF6U60DCJ99UE9PZT,5,Female,3,5,Caucasian,Republican,4,5,5,3,3,5,3,3,3,3,i went by they thought and also what my opinion was on how many times the person had been in trouble ,yes it helped me decide if they would repeat a crime before trial ,0.766666667,0.729,5,0.751,3,0,3,32:33.8
3QILPRALQ5VJQC2651N8VA7AU7R8NY,2,Male,3,7,Caucasian,Democrat,3,3,3,4,3,3,4,4,3,4,,,0.866666667,0.662,15,0.801666667,2,1,1,51:50.7
